variant	pivot_date	model	location	mae	mse	normalized_mae	max_r_data	correlation	r2	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency	converged
21	2046-04-01	FGA	south	0.04607679389701875	0.003731413966840728	1.178888012002387	0.03908496263250275	-0.6999167703072305	-6.567542350061676	21	631.0	631.0731903638805	0.5695721971835596	0.5866087893220892	0.9411764705882353	0.8765215920684575	True
22	2046-04-01	FGA	south	0.017747285355454404	0.0008079691742913769	0.375856932202074	0.04721819350643993	0.3288781824543069	-0.06265835115891338	24	772.0	771.6339861755082	0.6368899583205719	0.6324052677111258	0.9285714285714286	0.9487337020072536	True
21	2046-10-01	FGA	south	0.12243020871633213	0.015084160411611515	3.4603395006409188	0.035380981748656684	-0.9902159052029462	-627.4785412953369	4	75.0	75.01406847335497	0.24668056649073183	0.26988126891270475	0.2826086956521739	0.299643204863063	False
22	2046-10-01	FGA	south	0.18843067750013875	0.04403884191019861	4.92183948207292	0.03828460440176278	-0.3918226421136473	-98.47194702544932	21	472.0	471.6012163313554	0.8613339466130641	0.8702207835117944	1.0	0.9807839190326243	False
22	2047-10-01	FGA	south	0.07190853941515073	0.012784617818994818	0.8389996476466167	0.0857074727228471	-0.2836440776955379	-7.132595711236856	15	417.0	417.06574299027596	0.2756203699321244	0.27093335716676686	1.0	0.9891380007162168	False
23	2047-10-01	FGA	south	0.05587895223332662	0.004308709972323543	1.126022068995157	0.04962509507756988	-0.7809859846996063	-3.591456167456893	18	2136.0	2136.0018972352227	0.8594961380458667	0.8743782763345774	1.0	0.9859481332712373	False
22	2048-04-01	FGA	south	0.1238306606818958	0.015989146648114475	1.9359148628726621	0.0639649310291188	0.9901925848880022	-11.110001528784197	15	438.0	438.0390769275955	0.1910282953400498	0.18973476655116928	0.32727272727272727	0.24413566432479386	False
23	2048-04-01	FGA	south	0.23035326504737572	0.053744972228593514	4.274721021468425	0.0538873212755873	0.9364597629066601	-35.5458971778308	23	2300.0	2299.972870858934	0.8357796596122872	0.8279139133971323	1.0	0.9492301032676197	False
24	2049-10-01	FGA	south	0.025854263859382803	0.0007768148059912156	0.5692449874989237	0.04541851826043824	0.7767060849143343	-1.857196615859562	7	110.0	109.68196299133501	0.059237712572127364	0.04698213955430808	0.12745098039215685	0.052629034447626184	True
25	2049-10-01	FGA	south	0.012258568269297951	0.0002005847985694227	0.2020738179767889	0.060663812818670185	0.9974693292899998	0.8806170611965314	19	3533.0	3532.8413650280395	0.9439332487116063	0.9390211389036401	1.0	0.9796423519320968	True
