path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_26,26,151953.5793,90000000.0,0.0,89848046.4207,0.565,1.6523134601548437,212847.8133,3.5454,30.0,0.75,inf,0.25,0.01364,3.5291,988.0,0.3054095826893354,3235.0,43.0,2.0476190476190474,21.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_14,14,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_16,16,193530.7199,90000000.0,0.0,89806469.2801,1.4322,2.7923083978053587,271073.3734,4.2164,30.0,0.75,inf,0.25,0.01361,4.4566,1116.0,0.3447636700648749,3237.0,49.0,1.0425531914893618,47.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_12,12,141348.7569,90000000.0,0.0,89858651.2431,0.6858,1.6457473074742028,198004.104,3.9205,30.0,0.75,inf,0.25,0.01364,3.9138,945.0,0.2900552486187845,3258.0,73.0,1.1967213114754098,61.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_17,17,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_15,15,150707.7749,90000000.0,0.0,89849292.2251,0.6357,1.6798182414760046,211320.7199,3.4944,30.0,0.75,inf,0.25,0.01362,3.4228,1021.0,0.33376920562275253,3059.0,73.0,0.9864864864864865,74.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_19,19,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_2,2,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_20,20,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_21,21,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_27,27,152402.0697,90000000.0,0.0,89847597.9303,0.4779,1.6724631088699995,213458.3152,3.3872,30.0,0.75,inf,0.25,0.01364,3.1175,963.0,0.30263984915147707,3182.0,33.0,11.0,3.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_29,29,152584.0703,90000000.0,0.0,89847415.9297,0.5176,1.6772353711837553,213619.5684,3.6007,30.0,0.75,inf,0.25,0.0137,3.3456,975.0,0.32338308457711445,3015.0,46.0,1.84,25.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_28,28,159280.2602,90000000.0,0.0,89840719.7398,0.5792,1.5753263711803558,223073.6605,3.2567,30.0,0.75,inf,0.25,0.01365,3.0234,1023.0,0.3306399482870071,3094.0,57.0,2.85,20.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_3,3,144188.6861,90000000.0,0.0,89855811.3139,0.5177,1.5705010616142583,201992.5045,3.3518,30.0,0.75,inf,0.25,0.01364,3.1645,936.0,0.3037974683544304,3081.0,52.0,1.1304347826086956,46.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_6,6,123850.5119,90000000.0,0.0,89876149.4881,0.503,1.5797458117412475,173479.7489,3.9608,30.0,0.75,inf,0.25,0.01369,3.7912,940.0,0.3211479330372395,2927.0,56.0,0.8615384615384616,65.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_27,27,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_28,28,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_29,29,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_4,4,163304.7474,90000000.0,0.0,89836695.2526,0.6435,1.9796750848853062,228751.5416,3.2576,30.0,0.75,inf,0.25,0.01363,3.0675,938.0,0.2982511923688394,3145.0,56.0,1.3658536585365855,41.0,False
