pivot_date	model	location	correlation	mae	mse	rmse	r2	n_seqs	n_cases	seq_entropy	case_entropy	seq_entropy_norm	case_entropy_norm
2031-04-01	FGA	north	0.9947794069897317	0.002800400537030505	1.0949276279893306e-05	0.003308969066022423	0.9830595458789525	3193	6849257	4.086247051394813	4.087942547098869	0.7627078650608644	0.7136870317118621
2031-10-01	FGA	north	-0.7805511974140092	0.0936615473665797	0.011459321846736998	0.10704822206247518	-6.3295491758275215	3507	7489343	4.3793952179049604	4.387696267249285	0.8121545663104115	0.7697118966605103
2032-04-01	FGA	north	0.9322108215458869	0.004545733658427474	2.44718999279758e-05	0.004946908118004195	-0.770529695012159	412	813490	3.863532591971235	3.9437662884873284	0.7362015923569916	0.6918354519102583
2033-04-01	FGA	north	0.9916560043063821	0.008973441450495763	0.00015119143347652473	0.012295992577930613	0.14456476164287513	656	1434835	3.7512092919508486	3.771989108824495	0.7436392167604715	0.661701429245977
2033-10-01	FGA	north	0.9989515678020069	0.0032733881041471747	1.4048045178108972e-05	0.0037480721948901907	0.9835396322579268	1393	3000000	4.6885152361768965	4.693727157927417	0.8440796180190433	0.8233973851157638
2034-04-01	FGA	north	0.8378550515134409	0.08685423533190544	0.012427268480055303	0.11147765910735345	-16.171151708226628	1396	3059012	4.815903423656709	4.822580358767622	0.8490025224347695	0.8460014660658951
2034-10-01	FGA	north	0.997819909197644	0.0016662268272320958	3.953094885863897e-06	0.001988239142020873	0.9931757339661257	1593	3396576	4.960010737906862	4.961581988048124	0.8659356876989145	0.8703858357204224
2035-04-01	FGA	north	0.461662840917382	0.08818549776062755	0.013338285444718578	0.11549149511855225	-16.384115184643687	4455	9145771	4.8270179040462455	4.794940126199792	0.8427173425917183	0.8411526765102636
2035-10-01	FGA	north	0.6770225372723642	0.1970976547595947	0.03949200114652291	0.19872594482483386	-32.82162464420939	3933	8302442	4.45338796765339	4.462466473096146	0.810908065008091	0.7828284647752317
2036-04-01	FGA	north	-0.70643174020483	0.24157732263114662	0.058390713641839675	0.24164170509628438	-2263.4529039167937	440	1130799	3.0908792727598158	3.178218916681377	0.6655846233062949	0.5548643599178164
2037-04-01	FGA	north	0.393437611937313	0.01635566564453463	0.0004778673753317509	0.021860177843095213	-0.22382972419270608	2623	5829074	4.154165779852049	4.209645486115491	0.7703859869791068	0.734934348252312
2037-10-01	FGA	north	0.14204591418747056	0.20999749239437915	0.047562719342461535	0.21808878775045162	-49.4750717673366	3174	6960255	4.5902836233167115	4.623360709259193	0.8310368671221494	0.8110533463841042
2038-04-01	FGA	north	0.901503548146373	0.1843704933286352	0.03908972219137743	0.19771120906862472	-207.13280908183316	603	1577250	3.414020897569822	3.455664211902797	0.6710655201032903	0.6033017112082644
2039-10-01	FGA	north	0.9895922792920726	0.0019808602887625014	5.216205880190441e-06	0.0022839014602627763	0.9573786221353107	381	728156	4.927858379460553	5.0315766297909965	0.902632127974262	0.8826646501985619
2040-04-01	FGA	north	0.6362021067349803	0.07673363191504477	0.009213618510253981	0.09598759560617184	-27.146730961937966	2103	4170987	4.224065838060772	4.1928174784253045	0.752321305167359	0.7355252727402892
2040-10-01	FGA	north	0.462009317387724	0.20974164554509883	0.04520715935592181	0.21261975297681496	-43.08779902276753	2623	5541568	4.493250285754517	4.54223138189317	0.8045264914803506	0.7968212289725584
2041-04-01	FGA	north	0.9367177570268361	0.008824373844758471	0.00016149477916530637	0.012708059614485068	0.8290989232831284	2940	6062345	4.644034031641539	4.653144736675427	0.82711914962248	0.8162782112873237
2041-10-01	FGA	north	0.8370248596224931	0.23311403307639192	0.054647956272187125	0.23376902333753957	-56.21320669919361	2747	5994705	4.624953355457741	4.665984067788425	0.8237208126267053	0.8185305517641711
2042-04-01	FGA	north	0.3133570266644466	0.19452317819597217	0.040966983182348246	0.20240302167296872	-19.53095466907376	4736	10140839	4.389185389926211	4.418959714919159	0.7817296907206215	0.775196288955789
2042-10-01	FGA	north	0.6416784907748276	0.23557847050726746	0.05653892045602512	0.23777914218035426	-31.519105304400185	4552	9714941	4.243447980216357	4.272127103979805	0.7772691878272016	0.7494381688458486
2043-04-01	FGA	north	-0.8356689925405153	0.2841687764149835	0.08076546924761022	0.2841926621987454	-10709.07363126674	537	1306500	3.412643988031476	3.42847110498232	0.6653257339783267	0.6014397615804173
