strain,tsne_x,tsne_y
d37618f,-12.975440692320207,35.54037610301858
17db21be,-12.463292462380416,35.401316962618154
3f3bab08,-18.332041308871467,36.54359743608563
6c973e8a,-14.869652147381316,33.575469673667506
1a62933b,-9.270574628289578,36.179512357265004
7d7376d0,-15.334387565909594,33.8811092568545
6cdf0de2,-16.060008622199508,33.71492488590834
530bf06f,-14.47899486129374,34.684513902860125
1b6a4d54,-15.165205315902083,33.47471845152317
62eda858,-14.525691658294631,35.114876594426335
49165807,-15.18182604472811,33.94917835392352
26775bb2,-14.525691682491642,35.11487718864594
1708e401,-16.04627009940053,33.726453050024986
3edd943c,-14.567191400930431,33.987652207102805
386e4d30,-13.018016216756225,34.543044587150575
359e026e,-14.226261652101888,35.253340930937
39c84ed5,-16.28387899740372,33.68022576534218
16f257c,-15.590207238121378,36.282109962290015
4c42cc56,-14.825223820016026,34.26967506851304
50beb32e,-15.862458170191072,36.08084741226162
603293f2,-17.19247207737644,32.63958839374574
2018b78f,-15.365054546112347,33.869770246020956
1ef7c2d0,-14.69807392932613,33.87388573590709
64511d1b,-17.38464372746023,32.784608154265925
7ec80d5a,-14.47899382711892,34.684513173300964
55b3c969,-12.92327128414188,34.81751404301977
5fa38725,-15.5746112936999,33.40094398388845
29e95aa7,-16.714045805160882,35.675102149719784
6178b5e2,-15.629321628648922,33.423042159399685
263f3319,-16.00724103601282,36.4037531394021
5a80096f,-16.233640181993454,35.76482564928031
72bf9ba4,-15.558563451107661,34.7271501477612
600c00d0,-15.16788018779901,34.982141125289495
4af5c1d0,-15.722763129485502,34.88092088987922
2bba22a8,-15.657296919708672,34.8898719172984
2ba54ed9,-15.740708318254681,34.82457126489291
66a235ff,-15.80217961962973,34.829323878282366
3dfb7556,-15.209698751435916,35.12710883775977
7cda2cc,-15.740575211170658,34.668586574737496
72950033,-16.41012024265128,34.712521472554954
3c15d341,-14.287003684618458,36.107040852308955
1c82eb9c,-14.060646265133762,36.28423397116654
3ec0bbbc,-14.990311065237458,35.619461420333415
4654c7f2,-14.257332886254732,36.141325632335324
15ed0ed9,-15.174501385022023,35.745724934996055
2ed716d8,-14.984143243100592,35.99060334450531
645f28db,-16.373683983733148,35.77540337253552
1c8fcd1d,-16.54738871185444,36.03281752504786
28fda369,-17.109569512899153,35.88286991001975
10aea24,-17.32205865838912,36.03005325224183
70495828,-17.31853938648608,36.028401281406985
49727fad,-17.404405189968134,35.30415142909547
28129210,-17.694803821195265,35.363442652547036
5857fc74,-17.653039405417264,35.35358936455035
5b689271,-16.97420804556119,36.920083404355275
6a5ca4f1,-17.05719357900444,37.0677736678384
52e2a6fb,-17.0646872578075,37.080642810735434
2c1fc954,-17.080444124627178,37.09365225650165
41f9ff5b,-17.06432900225473,37.07817764697669
6e9f35c2,-16.3517436799311,34.749907631215024
4ba51f08,-16.490407695226345,35.501961067184794
7dfb0d98,-15.860430435304352,35.80245990825374
4fa3d973,-14.873268561093472,35.15588859957184
b0ca473,-14.060742826652453,36.28553526095883
1c20c843,-14.443105783670239,34.308077466273744
29738334,-16.45463069811055,34.94566459680093
216fd1fe,-16.030252068031306,35.174397461175694
46648d04,-15.709094252213987,34.949111836785605
21033eda,-15.702158693506183,35.00595577448696
47b8c128,-15.951505347608189,34.84904288407535
4e0465dc,-15.860654611363312,34.8469157904778
1f26c91,-15.83801370929773,35.15339859748518
4d453353,-15.750578337412911,35.12019170539842
16b65558,-15.838446271094192,35.155829774481546
55909dfc,-15.83844632409602,35.155830056747035
43658695,-15.838125022580334,35.15445399344313
29a446e0,-15.916527764262478,34.836685399196256
160007a5,-15.916527939297998,34.83668624367288
44e31ead,-15.923603920880522,34.840430853508515
453c1edf,-15.853426734485161,35.09797136923142
7d50ef2c,-15.83844577978038,35.15582958490364
537ec4a8,-15.73728422823376,35.062340292603096
34274fc9,-15.838125193252203,35.15445426372148
278989cd,-15.853427229153798,35.09797178007815
3fb248ef,-15.66977275973591,35.007939647281674
298ccf50,-15.753846079996334,35.12562804999306
3852520c,-15.853427073252464,35.09797156477254
51dfbc02,-15.743229148483723,35.05543293460513
79857dae,-15.73728425799155,35.0623407650748
7eaed366,-15.73728373786765,35.06234100546574
5c7d8839,-15.86500174989094,35.08248479233329
55d13567,-15.74194076096525,35.052408963391066
19a06317,-15.854839835928669,34.80403642833137
1a91d42d,-15.71338039107744,35.011615763331406
c682f12,-16.003198930232344,35.09758209922328
2bc41821,-15.741888151101158,35.052280303612214
103c880e,-15.871612426769449,35.10539656356231
10c078a,-15.715643261424564,35.01931934538222
374ac318,-15.696181514491025,34.9954864655728
62cd8681,-15.701529020796567,34.993838405869916
4efa43be,-15.892470077330259,34.79997756794948
4654f190,-15.912855181355754,34.81934169157164
22076843,-15.910749926470961,34.81630145243164
79b2fb3f,-15.906523995410987,34.82652070959088
27378ac5,-15.707801336411377,34.94676809520291
1f5f4e5b,-15.70785618087343,34.94614200445299
c8e3788,-15.841018745078362,35.130496260147005
d5c953a,-15.701482430556208,34.9536511239193
70b34b9e,-15.90939488769972,34.813811978172396
53c479d4,-16.95524274632478,35.57643581079357
59c97dd7,-16.681844998326675,35.4375645195122
6e74a91a,-17.16470967531092,35.268788783994516
455afb49,-16.82096492121844,35.19787785432571
58f0d9b7,-16.099611892386523,35.89973022824932
39ac2a80,-16.18368183414476,36.19396460549608
4b9157fc,-25.020336915986775,24.396188536919727
1ab5ee24,-16.334895711742814,34.66016195436324
4a627232,-16.373296612485674,35.26747777486027
3b00b963,-27.480598748039487,39.42027123085899
476f24b4,-24.343027877252673,24.787940257612302
58469775,-24.221791400363358,24.921081320977763
4362f233,-24.21525008415874,24.923843873156546
b342557,-15.704423199569542,34.90219087578508
38288d50,-15.213968653176206,36.95192395548925
e139825,-15.13122205394078,37.16900511887656
3ac3cba8,-15.146982992942545,37.15162869316581
174607d9,-15.145400314358724,37.16685583317511
3f721145,-16.0410533407641,36.54584114624412
3e777dc1,-16.07145416174894,36.80672527596511
3ace06fc,-16.074067338173812,36.80628630467201
383cbdb9,-38.73804530102817,7.654973611233374
b03b568,-38.703446788791176,7.765906516048618
476f83f1,-37.61356955343461,12.885655753523611
12f12260,-15.693824892737709,35.404363656662
740a045,-16.17819600890009,35.036295967920594
7aaf1a5f,-38.58840057105091,11.715918267486904
db03cf7,-38.848243537744324,11.182223189991365
d4b3aa6,-13.632820148418038,10.388209097994443
6a626528,-16.26631184048553,34.43344428733808
5a6511b8,-16.829388947634364,33.694588940917384
4f790d0d,-16.694620228078612,36.17840788649769
3e68f1ba,-27.951208232727485,39.23831210975774
573e0b94,-28.1244209435772,39.266004090094164
2612d04a,-31.2085156073109,44.20049294627961
1bd27b06,-31.225023599873367,44.20987129399027
143ece59,-31.218013771589263,44.09413330690524
39d8d313,-31.221967785548994,44.213635603820826
61d3bb73,-31.222024225194165,44.2136524743397
46eaefa2,-31.221676883214787,44.2136298212398
7cd8e49a,-31.221998968556456,44.213617574318924
667a49a1,-31.22202478835149,44.21393685004433
