path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_20,20,226719.1477,90000000.0,0.0,89773280.8523,1.5329,4.485909807392976,317577.5754,4.0228,30.0,1.0,inf,0.1,0.01361,4.4973,1901,1.0661805945036456,1783,77,3.85,20
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_21,21,197763.3894,90000000.0,0.0,89802236.6106,1.3262,3.545983145746003,277000.5013,4.0378,30.0,1.0,inf,0.1,0.01364,4.502,1886,1.0374037403740375,1818,35,,0
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_22,22,175217.2097,90000000.0,0.0,89824782.7903,0.7644,2.1645998082361153,245406.3095,3.9815,30.0,1.0,inf,0.1,0.01365,4.2206,1707,1.0270758122743682,1662,60,3.5294117647058822,17
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_19,19,473597.2236,90000000.0,0.0,89526402.7764,10.3931,24.714002093462202,663332.966,12.6676,30.0,1.0,inf,0.1,0.01362,12.2164,2819,1.2407570422535212,2272,157,5.064516129032258,31
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_24,24,337261.7896,90000000.0,0.0,89662738.2104,7.2324,13.257137842632737,472408.6387,9.6445,30.0,1.0,inf,0.1,0.01359,11.3331,2282,1.0804924242424243,2112,109,3.6333333333333333,30
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_23,23,339497.3702,90000000.0,0.0,89660502.6298,13.5101,27.696736888327433,475542.773,12.105,30.0,1.0,inf,0.1,0.0136,17.4595,2293,1.1141885325558796,2058,135,4.821428571428571,28
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_25,25,175962.9898,90000000.0,0.0,89824037.0102,1.164,2.499062410473115,246468.1969,3.9602,30.0,1.0,inf,0.1,0.01367,4.8765,1747,1.0300707547169812,1696,62,6.2,10
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_29,29,171578.7046,90000000.0,0.0,89828421.2954,0.6679,1.9337892774043053,240349.4591,3.3559,30.0,1.0,inf,0.1,0.01361,3.3274,1740,1.0332541567695963,1684,77,3.08,25
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_28,28,245217.4313,90000000.0,0.0,89754782.5687,6.9608,15.908910111598045,343432.3182,8.7159,30.0,1.0,inf,0.1,0.01369,11.4252,1979,1.0656973613354874,1857,103,3.814814814814815,27
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_4,4,175692.7615,90000000.0,0.0,89824307.2385,1.0404,2.53758889698356,246022.2967,3.7487,30.0,1.0,inf,0.1,0.01367,3.9186,1824,1.1041162227602905,1652,52,3.7142857142857144,14
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_5,5,176600.39,90000000.0,0.0,89823399.61,1.0809,2.363075648079448,247374.6081,4.2128,30.0,1.0,inf,0.1,0.01361,3.8673,1664,0.9601846508944027,1733,124,3.875,32
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_6,6,155939.2161,90000000.0,0.0,89844060.7839,0.5452,1.6019393157494866,218560.163,3.2413,30.0,1.0,inf,0.1,0.01361,3.0477,1694,1.0495662949194549,1614,82,2.1578947368421053,38
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_27,27,394199.828,90000000.0,0.0,89605800.172,22.3166,41.41387799924794,552178.1835,15.7675,30.0,1.0,inf,0.1,0.01358,21.1903,2315,1.1237864077669903,2060,150,3.658536585365854,41
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_7,7,168618.2519,90000000.0,0.0,89831381.7481,0.5566,1.8532434446714303,235980.2481,2.949,30.0,1.0,inf,0.1,0.01367,2.7737,1731,1.012280701754386,1710,59,4.538461538461538,13
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_0,0,160297.343,90000000.0,0.0,89839702.657,0.5523,1.874404941791164,224466.1448,3.5826,30.0,0.75,inf,0.2,0.01373,3.512,1196,0.3840719332048812,3114,53,2.12,25
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_26,26,501062.782,90000000.0,0.0,89498937.218,17.5949,27.033259266635348,701772.5339,17.2329,30.0,1.0,inf,0.1,0.01355,18.6004,2594,1.1595887349128298,2237,146,4.709677419354839,31
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_8,8,243204.8901,90000000.0,0.0,89756795.1099,2.2732,5.904751696523689,340768.9286,5.2522,30.0,1.0,inf,0.1,0.01369,5.9643,1924,1.0153034300791557,1895,126,2.423076923076923,52
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_3,3,488555.4405,90000000.0,0.0,89511444.5595,17.4331,15.827682190092158,684341.0275,18.5576,30.0,1.0,inf,0.1,0.01357,20.5886,2476,1.101423487544484,2248,218,3.694915254237288,59
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_10,10,121841.3945,90000000.0,0.0,89878158.6055,0.454,1.3499536618820873,170621.1324,3.4444,30.0,0.75,inf,0.2,0.01368,3.1078,1149,0.3713639301874596,3094,53,1.4722222222222223,36
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_11,11,140947.3395,90000000.0,0.0,89859052.6605,0.496,1.5774729772033198,197418.6969,3.7086,30.0,0.75,inf,0.2,0.01363,3.5445,1230,0.3886255924170616,3165,50,1.3157894736842106,38
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_1,1,152413.3139,90000000.0,0.0,89847586.6861,0.5219,1.8727162382642384,213547.2653,3.6293,30.0,0.75,inf,0.2,0.0136,3.3871,1275,0.37856294536817103,3368,68,0.7727272727272727,88
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_9,9,437943.6598,90000000.0,0.0,89562056.3402,17.9003,29.412731202400938,613430.61,19.1477,30.0,1.0,inf,0.1,0.01356,21.8767,2447,1.1153144940747493,2194,137,5.074074074074074,27
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_12,12,121610.344,90000000.0,0.0,89878389.656,0.5646,1.3032368017359297,170331.7148,3.6953,30.0,0.75,inf,0.2,0.01364,3.7155,1238,0.37188344848302796,3329,39,2.6,15
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75/run_13,13,157291.9194,90000000.0,0.0,89842708.0806,0.7075,1.868826654526592,220375.8529,3.4783,30.0,0.75,inf,0.2,0.01363,3.4492,1252,0.3784764207980653,3308,56,2.074074074074074,27
