pivot_date	model	location	inference_method	iterations	learning_rate	num_samples	num_iterations	initial_loss	final_loss	min_loss	total_improvement	converged	relative_change	threshold	window	final_iteration
2034-10-01	FGA	tropics	InferFullRank	50000		500	50000		560.0137939453125			True	0.09771077334880829	0.01	100	50000
2035-04-01	FGA	tropics	InferFullRank	50000		500	50000	318969.5	540.6805419921875		318428.8125	True	0.0947275310754776	0.01	100	50000
2035-10-01	FGA	tropics	InferFullRank	50000		500	50000	49973.08203125	480.5166015625	470.1041259765625	49492.56640625	True	0.029421312734484673	0.01	100	50000
2036-04-01	FGA	tropics	InferFullRank	50000		500	50000	124318.875				False		0.01	100	50000
2041-10-01	FGA	tropics	InferFullRank	50000		500	50000	284211.4375	874.7860107421875		283336.65625	True	0.0004355334094725549	0.01	100	50000
2042-10-01	FGA	tropics	InferFullRank	50000		500	50000	17586.126953125	2145.23046875		15440.896484375	True	0.0003276545903645456	0.01	100	50000
2043-04-01	FGA	tropics	InferFullRank	50000		500	50000	17570.984375				False		0.01	100	50000
2043-10-01	FGA	tropics	InferFullRank	50000		500	50000	1057151.75	355.3902282714844		1056796.375	True	0.03300894796848297	0.01	100	50000
2045-04-01	FGA	tropics	InferFullRank	50000		500	50000		1659.756591796875			True	0.00030953751411288977	0.01	100	50000
2045-10-01	FGA	tropics	InferFullRank	50000		500	50000	414436.1875	963.344970703125		413472.84375	True	0.007443180773407221	0.01	100	50000
2047-10-01	FGA	tropics	InferFullRank	50000		500	50000		487.6624755859375			True	0.09104382991790771	0.01	100	50000
2048-04-01	FGA	tropics	InferFullRank	50000		500	50000		434.96881103515625			True	0.0018213774310424924	0.01	100	50000
2048-10-01	FGA	tropics	InferFullRank	50000		500	50000	222282.5	856.295166015625		221426.203125	True	0.0036942597944289446	0.01	100	50000
2049-04-01	FGA	tropics	InferFullRank	50000		500	50000	31809.19921875	904.4351806640625	896.586669921875	30904.763671875	True	0.015935737639665604	0.01	100	50000
2049-10-01	FGA	tropics	InferFullRank	50000		500	50000	87293.78125	1049.52685546875	1036.168212890625	86244.2578125	True	0.0023381647188216448	0.01	100	50000
2050-04-01	FGA	tropics	InferFullRank	50000		500	50000	131096.75				False		0.01	100	50000
2050-10-01	FGA	tropics	InferFullRank	50000		500	50000	74946.84375	530.1533203125	491.30438232421875	74416.6875	True	0.4146309196949005	0.01	100	50000
2051-04-01	FGA	tropics	InferFullRank	50000		500	50000	45412.0234375	564.2867431640625	514.9979248046875	44847.73828125	True	0.05036752298474312	0.01	100	50000
