strain	year	country	clade_membership	fitness
5b6b4952	2.2615	tropics	8	0.5374
3f163817	2.2695	tropics	8	0.5933
3169086e	2.3686	tropics	8	0.585
54251173	2.3839	tropics	8	0.5901
4c9c5fb9	2.4721	tropics	8	0.5096
22663ea	2.6693	tropics	8	0.5175
29c4b579	2.8619	tropics	15	0.6379
78753fa8	2.9346	tropics	15	0.6446
ff84e8e	2.9566	tropics	8	0.4978
24938098	3.0723	tropics	15	0.5576
34216f06	3.0971	tropics	15	0.5769
3d6ecd8f	3.0993	tropics	15	0.5641
671ecc1b	3.1795	tropics	15	0.5753
75c2cd39	3.1941	tropics	15	0.6123
368048f3	3.2068	tropics	15	0.6208
74bef412	3.2773	tropics	15	0.6702
1bee2ee8	3.2866	tropics	15	0.5828
50166e10	3.2879	tropics	15	0.5838
1a6b4843	3.2896	tropics	15	0.6252
4dc53525	3.2967	tropics	15	0.5701
5d41004	3.3096	tropics	15	0.6022
5fedc05f	3.3129	tropics	15	0.6141
1d7d3ed8	3.3131	tropics	15	0.6516
28c5030b	3.324	tropics	15	0.5766
cc875d3	3.3355	tropics	15	0.5658
4b72c6f7	3.3408	tropics	15	0.6125
20501874	3.386	tropics	15	0.5589
134ae997	3.3924	tropics	15	0.5372
6939b1e4	3.3955	tropics	5	0.6458
1133c9b4	3.4029	tropics	15	0.5902
5cfa8600	3.4073	south	15	0.568
58c72027	3.4112	tropics	15	0.5922
2c3bad17	3.4209	tropics	15	0.5646
b84f9d4	3.4223	south	15	0.6262
22632b65	3.4521	tropics	15	0.6015
5872af0b	3.4652	south	15	0.6325
6396588b	3.484	tropics	15	0.611
6ab1e603	3.5384	south	15	0.6222
6180c884	3.543	tropics	15	0.5965
2b76d54	3.5549	tropics	5	0.6407
5aa61338	3.5649	tropics	15	0.6263
7209b0cb	3.5692	south	15	0.5841
74846483	3.572	tropics	15	0.5863
30c84d86	3.5942	tropics	15	0.6061
305487bc	3.5993	tropics	15	0.5182
9a64ca5	3.6038	tropics	15	0.5477
225bf8bd	3.605	tropics	15	0.6119
38b8121a	3.6122	south	15	0.5888
50417349	3.622	south	15	0.6029
5d04ac31	3.6241	tropics	15	0.6086
128f6f62	3.6456	south	15	0.5803
702bf58b	3.6537	south	8	0.5566
1ed3dfcf	3.6551	tropics	15	0.5581
7dda73ce	3.6569	tropics	15	0.5723
1d18feb1	3.6571	south	15	0.6071
25b5bc04	3.6685	tropics	15	0.5858
50f6975c	3.6726	south	15	0.5847
49b9f2e1	3.6787	south	15	0.6266
6661e4f0	3.6818	south	15	0.643
4a81513b	3.6973	tropics	15	0.5704
3dbba13d	3.7007	tropics	15	0.5569
46818fd4	3.704	south	15	0.6712
18f4a62a	3.7041	tropics	15	0.5356
7c5491f8	3.7053	tropics	15	0.5431
3713033a	3.7095	south	15	0.5919
52fbc03a	3.7098	south	15	0.5829
7e3a719c	3.7103	tropics	15	0.4946
18302746	3.7153	tropics	15	0.5315
73ee4d5c	3.7154	tropics	15	0.5863
5dcf1982	3.7196	tropics	15	0.6456
294194ae	3.7224	tropics	15	0.5549
4ab6c956	3.7231	south	15	0.5813
634430df	3.7295	south	15	0.5625
3fb7b346	3.7443	tropics	15	0.5948
432ad9a0	3.7443	south	15	0.5747
16ba56a3	3.7458	tropics	15	0.6079
43100e70	3.7542	tropics	15	0.6112
30561f56	3.7543	south	15	0.5715
6c442a31	3.7573	south	15	0.5566
6dd7d962	3.7582	tropics	15	0.5403
2321c772	3.7617	south	15	0.5115
de8b1cd	3.7618	south	15	0.5592
4e97c597	3.7629	south	15	0.6195
c90cfe	3.7661	south	15	0.5421
3386993f	3.7673	south	15	0.5319
435ab06f	3.7683	tropics	15	0.4837
3973c981	3.7706	tropics	15	0.6264
637d3430	3.7728	south	15	0.625
4340a4ba	3.7802	tropics	15	0.5153
288752b9	3.7815	south	15	0.5618
4c392812	3.7817	south	15	0.5853
fe851d3	3.7949	tropics	5	0.6122
28e1bbbc	3.8072	tropics	15	0.5549
6ce3d517	3.8112	south	15	0.5859
7ac51165	3.8113	south	15	0.5313
4e4a9712	3.8203	tropics	15	0.5966
7336b137	3.8208	tropics	15	0.5768
289282b7	3.8249	south	15	0.5774
481f239a	3.8367	south	15	0.5665
108dc672	3.8372	tropics	15	0.555
53946c76	3.8439	tropics	15	0.5674
4685a8a5	3.846	tropics	15	0.517
17d62ad1	3.8462	south	15	0.5413
