country	model	pivot_date	lead	variant	date	MAE	MSE	loglik	coverage_posterior	coverage_predictive	total_seq	raw_freq	smoothed_freq	pred_freq
south	GARW	2053-04-01	-198	27	2052-09-15	0.007865279210998444	6.18626170669643e-05	-2.261563319598306	1	1	141.0	0.900709219858156	0.9019612207890015	0.9098265
south	GARW	2053-04-01	-191	27	2052-09-22	0.0009115625966963359	8.309463676957667e-07	-3.106976262323414	1	1	140.0	0.8785714285714286	0.9102250074033037	0.91113657
south	GARW	2053-04-01	-184	27	2052-09-29	0.007698661270668317	5.92693853604883e-05	-2.8916859020803507	1	1	140.0	0.9428571428571428	0.9040422387293316	0.9117409
south	GARW	2053-04-01	-177	27	2052-10-06	0.003331593175430192	1.109951308657303e-05	-2.7068589534821115	1	1	120.0	0.8833333333333333	0.9077624768245698	0.91109407
south	GARW	2053-04-01	-170	27	2052-10-13	0.0032150991466379786	1.0336862522712258e-05	-2.4486538965772358	1	1	90.0	0.9444444444444444	0.907021500853362	0.9102366
south	GARW	2053-04-01	-163	27	2052-10-20	0.00919627227324904	8.457142372372906e-05	-2.3189691814343227	1	1	98.0	0.8877551020408163	0.918289412273249	0.90909314
south	GARW	2053-04-01	-156	27	2052-10-27	0.011249020586890257	0.00012654046416428081	-1.8210159214223225	1	1	72.0	0.9166666666666666	0.9189338805868903	0.90768486
south	GARW	2053-04-01	-149	27	2052-11-03	0.008197155275534995	6.71933546112312e-05	-1.885988232263422	1	1	67.0	0.8955223880597015	0.913622525275535	0.90542537
south	GARW	2053-04-01	-142	27	2052-11-10	0.0026379773390270422	6.958924441220194e-06	-2.2705162383209396	1	1	47.0	0.9574468085106383	0.9056860173390271	0.90304804
south	GARW	2053-04-01	-135	27	2052-11-17	0.01401912295251806	0.00019653580835781866	-1.8422751394788608	1	1	38.0	0.9473684210526315	0.8860067170474819	0.90002584
south	GARW	2053-04-01	-128	27	2052-11-24	0.012027534034769194	0.00014466157495753132	-1.8703394020728128	1	1	26.0	0.8461538461538461	0.8849244659652308	0.896952
south	GARW	2053-04-01	-121	27	2052-12-01	0.019835386874466954	0.0003934425724597759	-1.2507143774019842	1	1	18.0	0.8888888888888888	0.8738758131255331	0.8937112
south	GARW	2053-04-01	-114	27	2052-12-08	0.02780720237598655	0.000773240503979072	-2.718739295660395	1	1	16.0	0.75	0.8620976976240134	0.8899049
south	GARW	2053-04-01	-107	27	2052-12-15	0.01674266538350533	0.00028031684414402765	-0.9831474380394103	1	1	11.0	0.9090909090909091	0.8696164946164947	0.88635916
south	GARW	2053-04-01	-100	27	2052-12-22	0.009449346594516572	8.929015106330194e-05	-1.3978579491842833	1	1	11.0	0.8181818181818182	0.8915945165945166	0.88214517
south	GARW	2053-04-01	-93	27	2052-12-29	0.041713278961039046	0.0017399976416814628	-0.9350003159250848	1	1	8.0	0.875	0.8360389610389609	0.87775224
south	GARW	2053-04-01	-86	27	2053-01-05	0.001108193246753375	1.2280922721497868e-06	-0.4079353584210138	1	1	3.0	1.0	0.8717532467532466	0.87286144
south	GARW	2053-04-01	-79	27	2053-01-12	0.01643808974025973	0.00027021079430883225	-0.2824310055648344	1	1	2.0	1.0	0.8847402597402597	0.86830217
south	GARW	2053-04-01	-72	27	2053-01-19	0.04739333571428572	0.0022461282701269907	-1.4439413784295438	1	1	2.0	0.5	0.9107142857142857	0.86332095
south	GARW	2053-04-01	-65	27	2053-01-26	0.07108797857142857	0.0050535006973718875	-0.30750680083968046	0	1	2.0	1.0	0.9285714285714286	0.85748345
south	GARW	2053-04-01	-58	27	2053-02-02	0.06682036428571425	0.0044649610832755565	-0.3190828509783342	1	1	2.0	1.0	0.7857142857142857	0.85253465
south	GARW	2053-04-01	-51	27	2053-02-09	0.20456199714285705	0.04184561067507426	-0.3311197086177134	0	1	2.0	1.0	0.6428571428571429	0.84741914
south	GARW	2053-04-01	-44	27	2053-02-16	0.26982542857142855	0.0728057619037551	-0.1728616432053804	0	1	1.0	1.0	0.5714285714285714	0.841254
south	GARW	2053-04-01	-37	27	2053-02-23	0.40664257142857146	0.16535818089804086		0	0	0.0	0.0	0.42857142857142855	0.835214
south	GARW	2053-04-01	-30	27	2053-03-02	0.5430071742857143	0.29485679132575615	-1.76446415879122	0	1	1.0	0.0	0.2857142857142857	0.82872146
south	GARW	2053-04-01	-23	27	2053-03-09	0.6792948171428572	0.4614414485971478	-1.7268258011713118	0	1	1.0	0.0	0.14285714285714285	0.82215196
south	GARW	2053-04-01	-16	27	2053-03-16	0.8148479	0.6639771001344099		0	0	0.0	0.0	0.0	0.8148479
south	GARW	2053-04-01	-9	27	2053-03-23	0.8075682	0.65216639765124	-3.296026947485189	0	1	2.0	0.0	0.0	0.8075682
south	GARW	2053-04-01	-2	27	2053-03-30	0.8001046	0.64016737094116		0	0	0.0	0.0	0.0	0.8001046
south	GARW	2053-04-01	5	27	2053-04-06	0.7920642	0.62736569692164		0	0	0.0	0.0	0.0	0.7920642
south	GARW	2053-04-01	12	27	2053-04-13	0.7836971	0.6141811445484101		0	0	0.0	0.0	0.0	0.7836971
south	GARW	2053-04-01	19	27	2053-04-20	0.7758908	0.60200653352464		0	0	0.0	0.0	0.0	0.7758908
south	GARW	2053-04-01	26	27	2053-04-27	0.6966752685714286	0.4853564298390721		0	0	0.0	0.0	0.07142857142857142	0.76810384
south	GARW	2053-04-01	33	27	2053-05-04	0.5931592733333334	0.35183792354132815		0	0	0.0	0.0	0.16666666666666666	0.75982594
south	GARW	2053-04-01	40	27	2053-05-11	0.44140379047619055	0.19483730624674872		0	0	0.0	0.0	0.3095238095238095	0.7509276
south	GARW	2053-04-01	47	27	2053-05-18	0.28898030761904764	0.0835096181915994	-0.9584430787791254	0	1	2.0	0.5	0.4523809523809524	0.74136126
south	GARW	2053-04-01	54	27	2053-05-25	0.27959758761904757	0.07817481100239099	-0.8420841031630389	1	1	3.0	0.6666666666666666	0.4523809523809524	0.73197854
south	GARW	2053-04-01	61	27	2053-06-01	0.12887960476190485	0.016609952523584808	-0.322801330748565	1	1	1.0	1.0	0.5952380952380951	0.7241177
south	GARW	2053-04-01	68	27	2053-06-08	0.08345981904761923	0.006965541395461346	-0.33629517229802536	1	1	1.0	1.0	0.6309523809523808	0.7144122
south	GARW	2053-04-01	75	27	2053-06-15	0.14431459047619044	0.020826701024310557	-2.4337000553727997	1	1	2.0	0.0	0.5595238095238095	0.7038384
south	GARW	2053-04-01	82	27	2053-06-22	0.13394479047619046	0.017941206895710562	-0.36604931782981665	1	1	1.0	1.0	0.5595238095238095	0.6934686
south	GARW	2053-04-01	89	27	2053-06-29	0.22001733571428572	0.04840762801481271	-2.4519776764107615	1	1	4.0	0.25	0.4642857142857143	0.68430305
south	GARW	2053-04-01	96	27	2053-07-06	0.21159108571428575	0.04477078755375022	-3.3798947656552922	1	1	3.0	0.0	0.4642857142857143	0.6758768
south	GARW	2053-04-01	103	27	2053-07-13	0.14319262857142856	0.020504128877195098	-0.8109584004000625	1	1	3.0	0.6666666666666666	0.5214285714285715	0.6646212
south	GARW	2053-04-01	110	27	2053-07-20	0.27549483142857145	0.075897402143857	-1.448950379311348	1	1	3.0	0.3333333333333333	0.37857142857142856	0.65406626
south	GARW	2053-04-01	117	27	2053-07-27	0.193834	0.037571619556000004	-0.8806287001595641	1	1	2.0	1.0	0.45	0.643834
south	GARW	2053-04-01	124	27	2053-08-03	0.1350742523809524	0.01824505365627322	-1.6176281471600205	1	1	5.0	0.4	0.4976190476190476	0.6326933
south	GARW	2053-04-01	131	27	2053-08-10	0.18413451190476188	0.03390551847440489	-2.92040721714968	1	1	3.0	0.0	0.43809523809523815	0.62222975
south	GARW	2053-04-01	138	27	2053-08-17	0.16785068095238093	0.02817385109617797	-1.0337610594303435	1	1	4.0	0.75	0.4440476190476191	0.6118983
south	GARW	2053-04-01	145	27	2053-08-24	0.2275780923809524	0.0517917881317533	-1.2454522291266925	1	1	3.0	0.3333333333333333	0.3726190476190476	0.60019714
south	GARW	2053-04-01	152	27	2053-08-31	0.20134420809523806	0.04053949013349853	-1.8063198664413476	1	1	4.0	0.25	0.3869047619047619	0.58824897
south	GARW	2053-04-01	159	27	2053-09-07	0.17158115523809525	0.02944009283283934	-1.9219612002951916	1	1	8.0	0.375	0.40476190476190477	0.57634306
south	GARW	2053-04-01	166	27	2053-09-14	0.23174646666666665	0.053706424812484437	-1.0150025945098067	1	1	4.0	0.5	0.33333333333333337	0.5650798
south	GARW	2053-04-01	173	27	2053-09-21	0.21074650714285714	0.04441409027291433	-1.0039491827001072	1	1	4.0	0.5	0.34285714285714286	0.55360365
south	GARW	2053-04-01	-359	28	2052-04-07	0.07142857142857104	0.005102040816326475	-3.8676366000000013e-16	0	0	1.0	0.0	0.07142857142857142	3.8676366000000003e-16
south	GARW	2053-04-01	-352	28	2052-04-14	0.07142857138872018	0.005102040810633495	-7.970249400158812e-11	0	0	2.0	0.0	0.07142857142857142	3.9851247e-11
south	GARW	2053-04-01	-345	28	2052-04-21	0.08443415309387754	0.00712912620868035	-0.03715058339220585	0	1	5.0	0.0	0.09183673469387754	0.0074025816
south	GARW	2053-04-01	-338	28	2052-04-28	0.07711286169387754	0.005946393438619087	-3.539971253432176	0	1	2.0	0.5	0.09183673469387754	0.014723873
south	GARW	2053-04-01	-331	28	2052-05-05	0.07489489269387754	0.005609244951627432	-0.051260990402233454	0	1	3.0	0.0	0.09183673469387754	0.016941842
south	GARW	2053-04-01	-324	28	2052-05-12	0.0907116425510204	0.008228602094304096	-2.1333298511957377	0	1	7.0	0.14285714285714285	0.1096938775510204	0.018982235
south	GARW	2053-04-01	-317	28	2052-05-19	0.0885556065510204	0.007842095451619128	-0.0854595336120572	0	1	4.0	0.0	0.1096938775510204	0.021138271
south	GARW	2053-04-01	-310	28	2052-05-26	0.01485747012244898	0.00022074441843946408	-0.16580305799858813	0	1	7.0	0.0	0.03826530612244898	0.023407836
south	GARW	2053-04-01	-303	28	2052-06-02	0.012451726122448981	0.00015504548342847835	-1.7604812087100756	1	1	8.0	0.125	0.03826530612244898	0.02581358
south	GARW	2053-04-01	-296	28	2052-06-09	0.010352372142857145	0.00010717160898420464	-0.4292257225132411	0	1	15.0	0.0	0.017857142857142856	0.028209515
south	GARW	2053-04-01	-289	28	2052-06-16	0.003329677619047622	1.1086753046786639e-05	-0.4366891790896967	1	1	14.0	0.0	0.027380952380952377	0.03071063
south	GARW	2053-04-01	-282	28	2052-06-23	0.0042223431297208555	1.782818150510091e-05	-0.5706556437030711	1	1	17.0	0.0	0.037233169129720856	0.033010826
south	GARW	2053-04-01	-275	28	2052-06-30	0.009889451378215657	9.780124856209156e-05	-0.5439653825748269	1	1	15.0	0.0	0.025725232621784343	0.035614684
south	GARW	2053-04-01	-268	28	2052-07-07	0.002822697854406128	7.96762317726896e-06	-1.5480513148657307	1	1	30.0	0.06666666666666667	0.03524904214559387	0.03807174
south	GARW	2053-04-01	-261	28	2052-07-14	0.006488588019130173	4.2101774481999626e-05	-1.5234501278216053	1	1	29.0	0.06896551724137931	0.04695864401913017	0.040470056
south	GARW	2053-04-01	-254	28	2052-07-21	0.01209575075756076	0.00014630718638903168	-1.2854812953579189	1	1	45.0	0.044444444444444446	0.05500693375756076	0.042911183
south	GARW	2053-04-01	-247	28	2052-07-28	0.019512190757560756	0.0003807255881594394	-1.8707907196970464	0	1	60.0	0.06666666666666667	0.06500693375756075	0.045494743
south	GARW	2053-04-01	-240	28	2052-08-04	0.014721744484119427	0.00021672976065570078	-2.3330093649001915	1	1	61.0	0.08196721311475409	0.06284689448411943	0.04812515
south	GARW	2053-04-01	-233	28	2052-08-11	0.0073469061097351795	5.397702938526411e-05	-1.6276812632336024	1	1	71.0	0.056338028169014086	0.05792078610973518	0.05057388
south	GARW	2053-04-01	-226	28	2052-08-18	0.006162175760528826	3.797241010364902e-05	-2.122889552079352	1	1	100.0	0.07	0.05938407976052883	0.053221904
south	GARW	2053-04-01	-219	28	2052-08-25	0.004984423722028321	2.484447984071866e-05	-1.7327274964243955	1	1	97.0	0.05154639175257732	0.06100515372202832	0.05602073
south	GARW	2053-04-01	-212	28	2052-09-01	0.0029618878076757005	8.772779385257967e-06	-2.326301500294252	1	1	116.0	0.034482758620689655	0.0615404498076757	0.058578562
south	GARW	2053-04-01	-205	28	2052-09-08	0.0018832279511630454	3.5465475160417615e-06	-1.9290186335729782	1	1	128.0	0.0546875	0.059614609048836954	0.061497837
south	GARW	2053-04-01	-198	28	2052-09-15	0.0008959895250274241	8.027972289588691e-07	-2.2954752761781574	1	1	141.0	0.07801418439716312	0.06509079952502743	0.06419481
south	GARW	2053-04-01	-191	28	2052-09-22	0.0013715627888328252	1.881184483710877e-06	-2.48449135596387	1	1	140.0	0.08571428571428572	0.06566353721116718	0.0670351
south	GARW	2053-04-01	-184	28	2052-09-29	0.0037571623644797186	1.4116269033062831e-05	-2.7238360056165085	1	1	140.0	0.04285714285714286	0.07385696236447972	0.0700998
south	GARW	2053-04-01	-177	28	2052-10-06	0.0031025372851146565	9.625737605526623e-06	-3.132857848974105	1	1	120.0	0.10833333333333334	0.07596509728511466	0.07286256
south	GARW	2053-04-01	-170	28	2052-10-13	0.0037507229341340043	1.4067922528638793e-05	-2.00510123068612	1	1	90.0	0.05555555555555555	0.079745586934134	0.075994864
south	GARW	2053-04-01	-163	28	2052-10-20	0.005659383669426574	3.202862351777219e-05	-2.0805254606619883	1	1	98.0	0.09183673469387756	0.07357971633057343	0.0792391
south	GARW	2053-04-01	-156	28	2052-10-27	0.007590405656537208	5.7614258030792046e-05	-1.7905293127267567	1	1	72.0	0.06944444444444445	0.0749760643434628	0.08256647
south	GARW	2053-04-01	-149	28	2052-11-03	0.005296964154705708	2.8057829256237153e-05	-1.973839093351339	1	1	67.0	0.1044776119402985	0.08147789584529429	0.08677486
south	GARW	2053-04-01	-142	28	2052-11-10	0.000935406218197779	8.74984793043071e-07	-2.0837731106702098	1	1	47.0	0.0425531914893617	0.08941440378180222	0.09034981
south	GARW	2053-04-01	-135	28	2052-11-17	0.01786774596839115	0.0003192563459909582	-1.729952043805839	1	1	38.0	0.05263157894736842	0.11200915596839114	0.09414141
south	GARW	2053-04-01	-128	28	2052-11-24	0.004034441047756229	1.6276714567820382e-05	-1.9468936444748564	1	1	26.0	0.15384615384615385	0.10208852104775623	0.09805408
south	GARW	2053-04-01	-121	28	2052-12-01	0.010886863887453843	0.0001185238053039466	-1.2560488421050189	1	1	18.0	0.1111111111111111	0.11313717388745384	0.10225031
south	GARW	2053-04-01	-114	28	2052-12-08	0.01858247938897359	0.00034530854024162824	-2.8071958917044446	1	1	16.0	0.25	0.12491528938897359	0.10633281
south	GARW	2053-04-01	-107	28	2052-12-15	0.006848458396492396	4.6901382408487204e-05	-1.2886475190444626	1	1	11.0	0.0	0.1173964923964924	0.110548034
south	GARW	2053-04-01	-100	28	2052-12-22	0.019719059581529585	0.00038884131077991375	-1.4168301436085247	1	1	11.0	0.18181818181818182	0.09541847041847042	0.11513753
south	GARW	2053-04-01	-93	28	2052-12-29	0.030960609974025957	0.0009585593699637556	-0.9356505203339132	1	1	8.0	0.125	0.15097402597402595	0.120013416
south	GARW	2053-04-01	-86	28	2053-01-05	0.010043019740259757	0.00010086224550324715	-0.4016323917865819	1	1	3.0	0.0	0.11525974025974026	0.12530276
south	GARW	2053-04-01	-79	28	2053-01-12	0.015173159740259734	0.00023022477650343884	-0.2795195547550046	1	1	2.0	0.0	0.11525974025974026	0.1304329
south	GARW	2053-04-01	-72	28	2053-01-19	0.04631264571428571	0.002144861153056947	-1.450628574465738	1	1	2.0	0.5	0.08928571428571429	0.13559836
south	GARW	2053-04-01	-65	28	2053-01-26	0.06985887857142858	0.004880262915257604	-0.30464209258924985	0	1	2.0	0.0	0.07142857142857142	0.14128745
