batch,config,run,site_class,statistic,min_origin_progeny,k,n_total,n_within_k,n_null_total,n_null_within_k
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,2,438,41,5000,713
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,3,438,67,5000,989
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,4,438,99,5000,1260
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,5,438,122,5000,1568
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,6,438,147,5000,1898
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,7,438,175,5000,2170
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,8,438,200,5000,2417
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,1,28,7,5000,284
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,2,28,9,5000,549
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,3,28,9,5000,779
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,4,28,10,5000,1022
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,5,28,12,5000,1284
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,6,28,16,5000,1585
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,7,28,16,5000,1948
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,mean,3,8,28,17,5000,2350
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,1,2,0,5000,346
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,2,2,1,5000,654
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,3,2,1,5000,929
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,4,2,1,5000,1226
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,5,2,1,5000,1501
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,6,2,1,5000,1795
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,7,2,1,5000,2066
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,3,8,2,1,5000,2336
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,1,28,8,5000,580
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,2,28,10,5000,1010
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,3,28,10,5000,1351
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,4,28,13,5000,1699
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,5,28,16,5000,1996
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,6,28,18,5000,2321
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,7,28,18,5000,2627
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,3,8,28,19,5000,2921
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,1,2,0,5000,375
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,2,2,1,5000,691
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,3,2,1,5000,976
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,4,2,1,5000,1264
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,5,2,1,5000,1525
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,6,2,1,5000,1809
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,7,2,1,5000,2115
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,3,8,2,1,5000,2425
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,1,21,6,5000,418
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,2,21,7,5000,764
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,3,21,7,5000,1071
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,4,21,8,5000,1330
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,5,21,9,5000,1593
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,6,21,11,5000,1869
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,7,21,11,5000,2173
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,3,8,21,12,5000,2487
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,1,2,0,5000,383
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,2,2,1,5000,691
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,3,2,1,5000,966
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,4,2,1,5000,1269
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,5,2,1,5000,1532
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,6,2,1,5000,1837
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,7,2,1,5000,2112
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,3,8,2,1,5000,2437
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,1,206,15,5000,135
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,2,206,28,5000,224
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,3,206,37,5000,343
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,4,206,45,5000,450
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,5,206,57,5000,583
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,6,206,68,5000,760
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,7,206,82,5000,994
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,epitope,mean,1,8,206,96,5000,1335
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,1,1,780,8,5000,234
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,1,2,780,35,5000,358
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,non_epitope,mean,1,3,780,67,5000,555
