batch,config,run,genetic_bin_low,genetic_bin_high,n_pairs,median_antigenic_distance,q25_antigenic_distance,q75_antigenic_distance
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,11,20,78054,25.85734682019793,20.477386357882686,31.605514866973685
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,21,40,7087,40.4276507484667,39.129792085826374,42.81863289886846
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,0,2,21769,0.9887140941647341,0.0,2.359227189144785
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,3,5,51488,4.105897579092787,3.0392887144856764,5.720804224932016
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,6,10,71248,10.231419346796415,7.888351630727425,12.094048419277009
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,11,20,55488,19.10011671613553,16.5044318878294,22.688263074990996
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,21,40,7,28.366242244083015,28.10361972707196,28.433477569688705
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,0,2,15491,1.3584667570463398,0.0,2.262263894862845
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,3,5,41351,4.747180958210882,3.115356841519121,6.22506623900501
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,6,10,79552,11.308600638452134,8.72557288667264,14.49577172454092
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,11,20,63506,22.235447721150113,18.18576813142629,26.528360181888363
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,21,40,100,32.04653152932467,32.04653152932467,32.7259792220187
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,0,2,12685,1.178692326266697,0.0,1.8899236227953766
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,3,5,27562,3.5736740785919463,2.364393919610186,4.930478842871145
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,6,10,58923,8.056299588520773,6.057521857526541,10.816698147309095
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,11,20,80373,16.394600417515516,13.897432284418585,19.43499017674051
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,21,40,20457,23.060584025778702,21.18892228240974,24.211392549169904
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,0,2,16876,1.3626031630669284,0.0,2.3998457367089254
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,3,5,41476,4.488737320227148,3.1091981868309806,6.041777636590078
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,6,10,64177,10.272928572709926,7.826604061788231,13.116014459430883
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,11,20,71427,21.028510338585566,17.16440535177377,25.493094105855416
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,21,40,6044,34.18674251007253,32.15505717643804,36.02072274968952
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,0,2,13546,1.2132088443462652,0.0,2.3369701003650034
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,3,5,36624,4.227159448140085,2.738401263511249,5.72516493037537
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,6,10,66657,9.689792198494247,7.486021769271049,12.336520524037564
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,11,20,75662,18.217259877654488,15.574021859494096,21.101720158555793
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,21,40,7511,26.766149051740708,24.43569294331552,28.505068374589104
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,0,2,11100,0.915863592463419,0.0,2.0605932762192554
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,3,5,26617,4.0990456694211135,2.904925956027107,5.526918461493711
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,6,10,51456,9.186782087325245,7.3414313488583405,11.633389757504043
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,11,20,101360,17.91366810929576,15.542924571971648,20.52591497595174
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,21,40,9467,21.84697699911821,19.726653312206814,29.811508189455964
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,0,2,15397,0.5993258295785409,0.0,1.733705932388762
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,3,5,35906,4.10030533741086,2.4980763499140672,5.239507515978959
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,6,10,59899,8.842804713437927,6.593422696141967,11.708054749615751
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,11,20,78990,18.239339912114595,14.71051317969567,22.278817747133708
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,21,40,9808,27.220601294056674,25.188381939497425,29.256384737010823
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,18,0,2,15413,1.2217542960841177,0.0,2.0739053136534467
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,18,3,5,33052,4.354802429502399,3.001518832191462,5.842784057279542
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,18,6,10,57155,9.871282483041403,7.649501539969777,12.433895824318297
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,18,11,20,83331,21.858077284152877,17.649870261846118,26.905456027542073
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,18,21,40,11049,36.5826138739429,34.44891167076255,38.821178433684885
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,21,0,2,12936,1.35112790290187,0.0,2.1469166169183223
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,21,3,5,29965,4.164098270934534,2.778827241841416,5.629775225530767
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,21,6,10,52491,9.64572781961009,7.2461338829751165,11.753490345425055
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,21,11,20,88688,19.42444975411144,16.055256445787464,24.64466104291151
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,21,21,40,15920,32.714978688820814,30.490995327853927,34.96074112272221
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,0,2,15028,1.292552610147842,0.0,2.273645055851948
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,3,5,32658,4.451025969690054,2.8830276339111727,5.99430023272108
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,6,10,61135,9.608494101054548,7.2921046975478925,11.837751774724792
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,11,20,81180,21.504589205562613,16.992469932590733,25.667649041156842
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,21,40,9999,34.26747294228158,32.17753948464081,35.69966067225948
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,23,0,2,18102,1.5459522955123817,0.0,2.564113901526218
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,23,3,5,40256,4.907204834730252,3.34078735929122,6.552354339837574
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,23,6,10,61714,11.260114525616514,8.602231976062962,14.05302459259216
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,23,11,20,74849,22.94617605549997,18.336470173400336,27.806477580772434
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,23,21,40,5079,36.897431868627386,34.17421001691188,39.20921494801956
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,24,0,2,15794,1.6516159026843955,0.0,2.618314375700521
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,24,3,5,36155,4.2877883926332006,2.841972809511023,6.277901777664253
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,24,6,10,61082,10.491975574218612,7.716502039136645,13.731093760513035
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,24,11,20,79740,22.003978477084548,17.538535071057797,27.051957130122766
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,24,21,40,7229,31.779930978685275,29.15177437103958,35.527995668345824
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,25,0,2,17062,1.2239158508655756,0.0,2.468029556143925
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,25,3,5,35421,4.068208023196456,2.601620804421738,5.731694127393754
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,25,6,10,62020,9.154522035584382,6.620442198222107,11.805866074541077
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,25,11,20,80092,19.72757555833965,15.812080587955526,24.587368126743456
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,25,21,40,5405,33.054473266110286,31.47198650768648,34.56605164391791
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,26,0,2,15140,1.157945050509737,0.0,2.2369938488963257
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,26,3,5,38273,4.1647828130648055,2.9604744248177544,6.16686049136836
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,26,6,10,63214,10.316902513836215,7.560054844377784,13.048369370921408
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,26,11,20,73102,21.063046831833233,16.76615058085785,24.61108126434107
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,26,21,40,10271,33.44487201261204,31.049700521744168,34.89163784289868
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,27,0,2,16215,1.4869952824404036,0.0,2.4744380089224305
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,27,3,5,42242,4.639730598191369,3.0393800586456683,6.570232824641756
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,27,6,10,70757,11.640565138342723,9.300337907839696,14.64128297110605
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,27,11,20,70624,24.012246261022725,19.917072624258818,29.128922885166904
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,27,21,40,162,35.41704444614203,33.94289173699281,35.936158705404225
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,29,0,2,17397,1.1857545277164254,0.0,2.3703211976438974
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,29,3,5,38091,4.624656801320505,3.262173324641106,6.084754934259883
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,29,6,10,66679,10.371133833867926,7.993927041198212,12.921760828927304
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,29,11,20,76961,21.976067854372857,17.8055666014873,27.351564087817717
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,29,21,40,872,34.616897983499335,31.002900271103673,35.9066967484394
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,0,2,13728,1.168983511432047,0.0,2.177165554109287
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,3,5,30773,3.5155417818595223,2.580848716992145,5.071895661387367
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,6,10,46900,8.319310099401273,6.175603226406308,9.811758377363297
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,11,20,93363,18.37483798595242,14.611188219990874,22.85157042830974
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,21,40,15236,31.34633060838222,28.24261153381535,34.52690809933608
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,0,2,11498,1.1177470196784216,0.0,2.5270033260761666
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,3,5,26281,4.481266277515764,3.23716789956901,6.107892324689427
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,6,10,44136,9.926386817467876,7.693303360811132,11.978048973434696
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,11,20,75515,21.287391360145566,17.000847925324198,25.255763128442585
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,3,21,40,42570,38.66183341099895,34.183920559818766,42.93409474310597
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,0,2,10771,1.0380175335706063,0.0,2.2836971362245047
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,3,5,28199,4.469350696689623,3.0677124979371833,5.8346704259966575
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,6,10,47925,9.971025033064555,7.585798717340187,12.337979642145626
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,11,20,80756,21.76326578112761,17.730762247856127,26.1201325810188
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,4,21,40,32349,33.86343587174815,31.569678530672437,36.27228707787806
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,0,2,10980,1.2370517572033917,0.0,2.0838720465727287
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,3,5,30214,3.9918319165515967,2.6678416032440904,5.553876487643557
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,6,10,54248,9.739659433573634,7.335056572644843,12.467416368277751
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,11,20,75302,21.22875907466096,17.161229361849344,25.704258402062486
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,7,21,40,29256,34.25583461090971,31.146247333025535,37.56330249725122
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,0,2,12968,1.3036511228085532,0.0,2.3718974050325183
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,3,5,29039,4.3470698039023965,2.8251415858324695,6.257758456508208
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,6,10,51609,9.91885383751571,6.920386863463632,12.834912252134803
