config,run,method,bg_bin,bg_bin_low,same_rate,null_rate,n_same,n_null
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,0,0,0.9555555555555556,0.9501226492232215,180,1223
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,1,1,0.14285714285714285,0.1568855316676351,224,1721
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,2-3,2,0.015437392795883362,0.02475478748248482,583,4282
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,4-7,4,0.000970873786407767,0.0010090817356205853,1030,7928
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,8-15,8,0.0,0.00013746649254244277,1696,14549
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,16-31,16,0.0,0.00012363996043521266,858,8088
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,0,0,0.9833333333333333,0.9689288634505315,180,1223
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,1,1,0.75,0.5299244625217897,224,1721
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,2-3,2,0.07032590051457976,0.0628211116300794,583,4282
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,4-7,4,0.02621359223300971,0.03115539858728557,1030,7928
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,8-15,8,0.0005896226415094339,0.00013746649254244277,1696,14549
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,16-31,16,0.0,0.00012363996043521266,858,8088
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,0,0,0.9388888888888889,0.9100572363041701,180,1223
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,1,1,0.33482142857142855,0.19814061592097618,224,1721
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,2-3,2,0.015437392795883362,0.02008407286314806,583,4282
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,4-7,4,0.0,0.0006306760847628658,1030,7928
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,8-15,8,0.0005896226415094339,6.873324627122139e-05,1696,14549
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,16-31,16,0.0,0.00012363996043521266,858,8088
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,0,0,0.9854014598540146,0.9443099273607748,137,1239
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,1,1,0.1643835616438356,0.16257408975444537,146,1181
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,2-3,2,0.024439918533604887,0.033426894615973465,491,3919
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,4-7,4,0.010968921389396709,0.007135212272565109,1094,8409
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,8-15,8,0.0,0.00019502047715010075,1789,15383
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,16-31,16,0.0,0.000388299249288118,861,7726
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,0,0,1.0,0.9652945924132365,137,1239
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,1,1,0.5547945205479452,0.19729043183742592,146,1181
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,2-3,2,0.018329938900203666,0.011992855320234754,491,3919
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,4-7,4,0.0009140767824497258,0.0005946010227137591,1094,8409
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,8-15,8,0.0,0.0,1789,15383
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,16-31,16,0.0,0.00012943308309603936,861,7726
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,0,0,0.9854014598540146,0.96045197740113,137,1239
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,1,1,0.410958904109589,0.31752751905165116,146,1181
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,2-3,2,0.026476578411405296,0.027813217657565704,491,3919
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,4-7,4,0.003656307129798903,0.0010702818408847663,1094,8409
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,8-15,8,0.0,0.0,1789,15383
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,16-31,16,0.0,0.0,861,7726
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,0,0,0.9523809523809523,0.9262347658755613,168,1559
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,1,1,0.19672131147540983,0.19960179193628672,244,2009
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,2-3,2,0.012396694214876033,0.016013628620102215,726,5870
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,4-7,4,0.0,0.0008664677000096274,1202,10387
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,8-15,8,0.0,0.0,1555,14684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,16-31,16,0.0,0.0,360,3492
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,0,0,1.0,0.9371391917896087,168,1559
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,1,1,0.7008196721311475,0.3295171727227476,244,2009
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,2-3,2,0.1322314049586777,0.1325383304940375,726,5870
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,4-7,4,0.013311148086522463,0.01241937036680466,1202,10387
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,8-15,8,0.0,0.00020430400435848543,1555,14684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,16-31,16,0.0,0.0,360,3492
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,0,0,0.9821428571428571,0.8794098781270044,168,1559
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,1,1,0.3401639344262295,0.218516674962668,244,2009
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,2-3,2,0.012396694214876033,0.012436115843270869,726,5870
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,4-7,4,0.0,0.0005776451333397516,1202,10387
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,8-15,8,0.0,0.0,1555,14684
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,16-31,16,0.0,0.0,360,3492
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,variant_tsne,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,0,0,0.954248366013072,0.946776611694153,153,1334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,1,1,0.24299065420560748,0.20960108181203516,214,1479
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,2-3,2,0.029850746268656716,0.02659294365455503,536,3798
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,4-7,4,0.007662835249042145,0.0022604546025367326,1044,7963
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,8-15,8,0.0,0.0005342288025642982,1676,13103
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,16-31,16,0.0,0.00010087763542822556,1137,9913
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,0,0,1.0,0.9625187406296851,153,1334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_phylo,1,1,0.7757009345794392,0.4861392832995267,214,1479
