batch,config,run,pivot_date,model,location,correlation,mae,mse,rmse,r2,n_seqs,n_cases,seq_entropy,case_entropy,seq_entropy_norm,case_entropy_norm
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2053-04-01,GARW,south,0.9990938620972254,0.002981816818821,1.1930288568146567e-05,0.0034540249808226,0.9901257973451604,2306,5281057,4.481155460254953,4.496728659738992,0.8023608859820143,0.7888389110455096
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2053-10-01,GARW,south,0.96765091908275,0.0061992094967328,6.225022321208056e-05,0.0078898810645079,0.931499466080796,1149,2531141,4.54986783079999,4.592015704087637,0.8103478108612714,0.8055546468589073
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2054-04-01,GARW,south,0.80785871776617,0.018971545121523,0.000485868392082,0.0220424225547466,-0.096884875124078,927,2048223,4.960550594654798,5.006098741805241,0.8745025796903164,0.8781951900787268
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2054-10-01,GARW,south,0.2018345728288813,0.191033013411847,0.0462250335051197,0.215000077918869,-42.60522194282925,4343,9800971,4.463108336543422,4.464190114893436,0.7868077704822174,0.7831308347471139
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2025-10-01,GARW,tropics,0.2414116334181942,0.251851811044044,0.0957725741429707,0.3094714431784792,-9291.126005339063,1440,3039852,5.283949832825279,5.277623910996576,0.98626197716245,0.9985283413553818
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2026-04-01,GARW,tropics,0.5574112995371221,0.0232660695138472,0.0017285005250379,0.0415752393262854,-20.54483167536927,2327,4857410,5.606653702873343,5.640346583033203,0.9835475823085568,0.9894581579528596
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2026-10-01,GARW,tropics,0.984055883988204,0.0014623662893319,4.204006296593164e-06,0.0020503673564981,0.9669741215980372,2448,5182872,5.585829421220319,5.581699693742654,0.9798944813755264,0.979170023670181
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2027-04-01,GARW,tropics,0.978770218911114,0.0016038293075175,4.39922140232856e-06,0.0020974320971913,0.9571736550056956,1532,3352006,5.47430734804645,5.432730826686134,0.9603307145982092,0.9530371506950592
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2027-10-01,GARW,tropics,0.9574528541771736,0.0010502427534141,1.8858674911232748e-06,0.0013732689070692,0.914472877239153,1176,2561484,5.612375189465226,5.634983460649788,0.9845512744577212,0.988517331867751
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2028-04-01,GARW,tropics,0.9573442514186176,0.00105882461804,1.9868686504705403e-06,0.001409563283599,0.9143205405243264,1084,2427009,5.525237774494298,5.584407285901414,0.969265187896079,0.9796450031967856
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2028-10-01,GARW,tropics,0.3439193050579117,0.0029378353330482,1.1792444706636477e-05,0.0034340129159099,-0.855772833994813,559,1206077,5.517884227246424,5.555556118969803,0.9633311550006866,0.974583785403394
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2029-04-01,GARW,tropics,-0.0900274401262811,0.0037376328355067,2.0727704967487364e-05,0.0045527689341199,-0.6160273209715172,674,1455723,5.498270791741085,5.52994381591967,0.9599069741551384,0.9654365593562304
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2029-10-01,GARW,tropics,0.8495925276946522,0.0033794184916056,1.949695749814331e-05,0.0044155359242274,0.1461358212024222,1356,2889223,5.60023960073105,5.637306502848349,0.9777090385865204,0.9841803054994136
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2030-04-01,GARW,tropics,0.6593106213089069,0.183959360635127,0.0399732663073467,0.1999331545975974,-447.8102205479199,3120,6569619,5.518207697212744,5.526113558121284,0.9633876274969242,0.96476785981182
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2030-10-01,GARW,tropics,0.9865378405530943,0.0016603271038758,6.443184900684703e-06,0.002538342943868,0.9681464076968116,2940,6247370,5.298542503916179,5.339767399071325,0.9294971556411842,0.9322349081885994
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,2031-04-01,GARW,tropics,0.1135916061862562,0.002812462935058,1.3930260937234207e-05,0.0037323264778465,-0.3282039712978393,812,1845782,4.612629315604298,4.658976492346581,0.8215258568417043,0.8133800965470752
