batch,config,run,method_x,method_y,nid
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,variant_tsne,variant_phylo,0.2711840400619666
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,variant_ag,variant_tsne,0.20025600576725266
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,variant_ag,variant_phylo,0.2817940594314421
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,13,variant_tsne,variant_phylo,0.23048546197646147
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,variant_ag,variant_tsne,0.20713372524153095
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,variant_ag,variant_phylo,0.296863049669024
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,15,variant_tsne,variant_phylo,0.27606577221459017
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,variant_ag,variant_tsne,0.24183345336828332
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,variant_ag,variant_phylo,0.30792389139042153
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,16,variant_tsne,variant_phylo,0.24951473856480766
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,variant_ag,variant_tsne,0.23648654562425098
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,variant_ag,variant_phylo,0.3105948354749698
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,22,variant_tsne,variant_phylo,0.2492763087228943
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,variant_ag,variant_tsne,0.25969721821170566
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,variant_ag,variant_phylo,0.29537006132961185
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,18,variant_tsne,variant_phylo,0.24762398063247093
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,variant_ag,variant_tsne,0.18702384031769315
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,variant_ag,variant_phylo,0.32009823652488634
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,23,variant_tsne,variant_phylo,0.27106265330431556
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,26,variant_ag,variant_tsne,0.22649018209633698
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,26,variant_ag,variant_phylo,0.28032823536387685
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,26,variant_tsne,variant_phylo,0.2418885108645792
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,variant_ag,variant_tsne,0.2501780746806621
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,variant_ag,variant_phylo,0.32941216444248345
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,24,variant_tsne,variant_phylo,0.28198240473780034
