config,run,min_progeny,is_epitope,min_background_distance_aa,min_birthtime_gap_years,closest_pair_birthtime_gap_years
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,21,25.282600000000002,25.282600000000002
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,8,1.9710999999999999,1.9710999999999999
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,0.5557000000000016,0.5557000000000016
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,1.2692999999999977,1.2692999999999977
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,3.8292,3.8292
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,9,0.47930000000000206,0.47930000000000206
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,3.9332000000000003,3.9332000000000003
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,11,12.6679,12.6679
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,2.3724000000000003,2.3724000000000003
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,11,12.243100000000002,12.243100000000002
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,4,3.6089,3.6089
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,5.4209000000000005,7.377800000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,11,13.4436,13.4436
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,11,10.2137,10.2137
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,21,26.194,26.194
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,3,0.863900000000001,0.863900000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,0.11759999999999948,0.11759999999999948
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,15,18.9634,18.9634
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,0.5130999999999997,0.5130999999999997
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,20,23.1139,23.1139
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,3,0.4902999999999995,0.4902999999999995
