date	country	variant	sequences
2028-11-05	south	13	3
2028-11-05	south	18	43
2028-11-05	south	27	24
2028-11-05	tropics	13	1
2028-11-05	tropics	18	7
2028-11-05	tropics	27	3
2028-11-12	north	18	9
2028-11-12	south	19	1
2028-11-12	tropics	13	3
2028-11-12	tropics	18	3
2028-11-19	north	13	35
2028-11-19	north	18	93
2028-11-19	south	13	12
2028-11-19	south	18	14
2028-11-19	tropics	13	2
2028-11-19	tropics	18	4
2028-11-26	north	13	7
2028-11-26	south	13	1
2028-11-26	tropics	13	2
2028-11-26	tropics	18	3
2028-11-26	tropics	27	2
2028-12-03	north	13	5
2028-12-03	north	18	12
2028-12-03	north	25	10
2028-12-03	tropics	13	1
2028-12-03	tropics	18	2
2028-12-10	north	13	4
2028-12-10	north	18	1
2028-12-10	north	19	1
2028-12-10	tropics	13	2
2028-12-10	tropics	18	5
2028-12-17	north	18	2
2028-12-17	tropics	18	1
2028-12-17	tropics	19	1
2028-12-24	north	18	4
2028-12-24	north	19	1
2028-12-24	north	25	1
2028-12-31	north	13	15
2028-12-31	north	18	29
2028-12-31	north	19	7
2028-12-31	south	13	2
2028-12-31	south	18	25
2028-12-31	tropics	13	1
2028-12-31	tropics	18	4
2028-12-31	tropics	19	1
2029-01-07	north	13	5
2029-01-07	north	18	2
2029-01-07	north	19	12
2029-01-07	north	25	7
2029-01-07	south	13	1
2029-01-14	north	13	4
2029-01-14	north	18	9
2029-01-14	north	19	3
2029-01-14	tropics	13	1
2029-01-14	tropics	18	2
2029-01-21	north	2	2
2029-01-21	north	13	8
2029-01-21	north	18	15
2029-01-21	north	19	1
2029-01-21	south	13	5
2029-01-21	tropics	18	1
2029-01-28	north	13	8
2029-01-28	north	18	12
2029-01-28	north	19	1
2029-01-28	north	27	1
2029-01-28	south	13	6
2029-02-04	north	2	1
2029-02-04	north	13	5
2029-02-04	north	18	5
2029-02-04	north	19	1
2029-02-04	north	27	321
2029-02-04	south	27	1727
2029-02-04	tropics	27	2176
2029-02-11	north	13	3
2029-02-11	north	18	3
2029-02-11	north	27	1
2029-02-11	south	13	1
2029-02-11	south	18	1
2029-02-11	tropics	2	1
2029-02-11	tropics	13	2
2029-02-11	tropics	18	1
2029-02-18	north	2	1
2029-02-18	north	13	3
2029-02-18	north	18	9
2029-02-18	north	19	3
2029-02-18	south	18	1
2029-02-18	tropics	18	2
2029-02-25	north	13	4
2029-02-25	north	18	3
2029-03-04	north	13	6
2029-03-04	north	18	2
2029-03-04	north	27	1
2029-03-04	tropics	13	2
2029-03-04	tropics	18	1
2029-03-11	north	13	3
2029-03-11	north	18	1
2029-03-11	north	25	1
2029-03-11	tropics	13	1
2029-03-18	north	13	2
2029-03-18	north	18	2
2029-03-18	north	19	1
2029-03-18	tropics	13	1
2029-03-25	north	18	2
2029-03-25	north	25	1
2029-03-25	north	27	1
2029-04-01	north	13	1
2029-04-01	north	18	2
2029-04-01	north	19	1
2029-04-01	tropics	18	1
2029-04-08	north	2	1
2029-04-08	north	13	2
2029-04-15	south	18	23
2029-04-22	north	18	1
2029-04-22	tropics	13	1
2029-04-29	north	13	1
2029-05-06	north	13	1
2029-05-06	south	13	40
2029-05-06	south	18	13
2029-05-13	south	13	4
2029-05-13	tropics	18	2
2029-05-13	tropics	27	1
2029-05-20	south	13	2
2029-05-27	north	13	1
2029-05-27	south	18	2
2029-06-03	south	13	56
2029-06-03	south	18	2
2029-06-03	south	27	3
2029-06-03	tropics	13	4
2029-06-03	tropics	18	1
2029-06-03	tropics	27	5
2029-06-10	south	13	17
2029-06-10	south	18	43
2029-06-10	south	27	1
2029-06-17	south	13	4
2029-06-17	south	18	8
2029-06-17	south	25	15
2029-06-24	south	13	5
2029-06-24	south	18	9
2029-07-01	south	18	19
2029-07-01	south	27	1
2029-07-01	tropics	18	1
2029-07-01	tropics	27	5
2029-07-08	south	13	3
2029-07-08	south	18	5
2029-07-08	south	27	1
2029-07-15	south	13	6
2029-07-15	south	18	20
2029-07-22	south	13	9
2029-07-22	south	18	7
2029-07-22	south	27	9
2029-07-29	south	13	5
2029-07-29	south	18	1
2029-07-29	south	27	1
2029-08-05	south	13	2
2029-08-05	south	18	3
2029-08-05	south	25	1
2029-08-05	south	27	11
2029-08-05	tropics	27	5
2029-08-12	south	13	8
2029-08-12	south	18	7
2029-08-12	south	25	1
2029-08-12	south	27	3
2029-08-19	north	18	4
2029-08-19	south	13	7
2029-08-19	south	18	4
2029-08-19	south	27	6
2029-08-19	tropics	18	60
2029-08-19	tropics	27	15
2029-08-26	south	13	1
2029-08-26	south	18	1
2029-08-26	south	19	1
2029-08-26	south	27	2
2029-08-26	south	29	1
2029-09-02	north	18	5
2029-09-02	south	18	9
2029-09-02	south	27	2
2029-09-02	south	29	3
2029-09-02	tropics	29	9
2029-09-09	north	27	3
2029-09-09	south	13	2
2029-09-09	south	18	2
2029-09-09	south	27	13
2029-09-09	tropics	27	5
2029-09-16	south	2	3
2029-09-16	south	13	3
2029-09-16	south	18	3
2029-09-16	south	27	4
2029-09-16	tropics	27	1
2029-09-23	south	13	2
2029-09-23	south	18	1
2029-09-23	south	27	7
2029-09-23	south	29	1
2029-09-23	tropics	27	5
2029-09-30	south	13	2
2029-09-30	south	18	4
2029-09-30	south	27	2
2029-10-07	north	6	148
2029-10-07	south	6	11
2029-10-07	south	18	1
2029-10-07	south	27	2
2029-10-07	tropics	6	179
2029-10-14	south	13	1
2029-10-14	south	27	1
2029-10-14	tropics	13	1
2029-10-21	north	18	1
2029-10-21	south	27	2
2029-10-21	tropics	18	10
2029-10-21	tropics	27	3
2029-10-28	south	27	3
2029-10-28	tropics	13	2
2029-10-28	tropics	27	2
2029-11-04	south	18	1
2029-11-04	tropics	18	1
2029-11-04	tropics	27	3
2029-11-11	tropics	18	1
2029-11-11	tropics	27	1
2029-11-18	south	13	2
2029-11-18	south	27	1
2029-11-18	tropics	13	1
2029-11-18	tropics	27	16
2029-11-25	tropics	27	7
2029-11-25	tropics	29	1
2029-12-02	south	27	2
2029-12-02	south	29	2
2029-12-02	tropics	6	2
2029-12-02	tropics	18	1
2029-12-02	tropics	27	4
2029-12-09	north	13	1
2029-12-09	tropics	27	2
2029-12-16	tropics	18	2
2029-12-16	tropics	27	3
2029-12-23	tropics	13	2
2029-12-23	tropics	27	4
2029-12-30	tropics	27	6
2030-01-06	north	27	2
2030-01-06	tropics	13	2
2030-01-06	tropics	27	16
2030-01-13	north	18	3
2030-01-13	north	27	1
2030-01-13	tropics	6	3
2030-01-13	tropics	27	6
2030-01-20	north	27	8
2030-01-20	north	29	1
2030-01-20	tropics	27	7
2030-01-20	tropics	29	1
2030-01-27	tropics	27	3
2030-02-03	north	29	1
2030-02-03	tropics	27	3
2030-02-10	north	27	2
2030-02-10	tropics	18	2
2030-02-10	tropics	27	6
2030-02-17	north	13	1
2030-02-17	north	27	1
2030-02-17	north	29	2
2030-02-17	tropics	13	1
2030-02-17	tropics	27	4
2030-02-24	north	29	3
2030-02-24	tropics	27	2
2030-02-24	tropics	29	1
2030-03-03	north	27	1
2030-03-03	tropics	27	4
2030-03-10	north	27	2
2030-03-10	north	29	1
2030-03-10	tropics	6	3
2030-03-10	tropics	27	3
2030-03-10	tropics	29	1
2030-03-17	tropics	6	1
2030-03-17	tropics	13	1
2030-03-17	tropics	27	6
2030-03-24	north	27	1
2030-03-24	tropics	18	1
2030-03-24	tropics	27	2
2030-03-24	tropics	29	1
2030-03-31	south	27	1
2030-03-31	tropics	6	1
2030-03-31	tropics	13	1
2030-04-07	tropics	27	1
2030-04-14	tropics	27	1
2030-04-21	north	18	1
2030-04-21	south	27	1
2030-04-21	tropics	27	3
2030-04-21	tropics	29	2
2030-04-28	north	27	2
2030-04-28	tropics	27	2
2030-05-05	tropics	13	1
2030-05-05	tropics	27	1
2030-05-05	tropics	29	1
2030-05-12	north	6	1
2030-05-12	tropics	29	1
2030-05-19	tropics	6	2
2030-05-19	tropics	27	1
2030-05-26	north	27	1
2030-06-02	north	6	27
2030-06-02	tropics	6	5
2030-06-02	tropics	27	1
2030-06-09	north	27	1
2030-06-16	north	27	2
2030-06-16	tropics	27	1
2030-06-23	tropics	27	1
2030-07-28	north	6	2955
2030-07-28	south	6	4102
2030-07-28	tropics	6	2417
2030-07-28	tropics	27	2
2030-09-22	tropics	29	1
2030-11-03	north	13	7
2030-12-08	tropics	6	1
2031-01-26	north	29	18
2031-01-26	south	6	1
2031-01-26	south	29	22
2031-01-26	tropics	6	7
2031-02-16	north	6	2
2031-02-23	north	6	5
2031-02-23	south	6	4
2031-02-23	tropics	6	3
2031-03-02	north	6	14
2031-03-02	north	29	2
2031-03-02	south	6	4
2031-03-02	south	29	15
2031-03-02	tropics	6	1
2031-03-09	north	6	4
2031-03-09	north	29	6
2031-03-09	south	6	10
2031-03-09	south	29	4
2031-03-09	tropics	6	56
2031-03-09	tropics	29	1
2031-03-16	north	6	2
2031-03-16	north	29	2
2031-03-16	south	6	1
2031-03-16	south	29	1
2031-03-16	tropics	6	6
2031-03-16	tropics	29	6
2031-03-23	north	6	21
2031-03-23	north	29	6
2031-03-23	south	6	82
2031-03-23	south	29	5
2031-03-23	tropics	29	3
2031-03-30	north	6	7
2031-03-30	north	29	3
2031-03-30	south	6	5
2031-03-30	tropics	29	4
2031-04-06	north	6	7
2031-04-06	north	29	3
2031-04-06	south	6	4
2031-04-06	tropics	6	2
2031-04-06	tropics	29	1
2031-04-13	north	6	3
2031-04-13	north	29	3
2031-04-13	south	6	36
2031-04-13	south	29	4
2031-04-13	tropics	6	3
2031-04-13	tropics	29	6
2031-04-20	north	5	1176
2031-04-20	north	6	5
2031-04-20	north	13	1
2031-04-20	north	29	3
2031-04-20	south	5	122
2031-04-20	south	6	6
2031-04-20	south	29	3
2031-04-20	tropics	5	1664
2031-04-20	tropics	6	6
2031-04-20	tropics	29	2
2031-04-27	north	6	4
2031-04-27	north	29	3
2031-04-27	south	6	4
2031-04-27	south	29	1
2031-04-27	tropics	29	4
2031-05-04	north	6	4
2031-05-04	south	6	1
2031-05-04	south	29	8
2031-05-04	tropics	6	12
2031-05-04	tropics	29	5
2031-05-11	north	29	1
2031-05-11	south	29	2
2031-05-11	tropics	6	3
2031-05-11	tropics	29	2
2031-05-18	north	6	2
2031-05-18	south	6	21
2031-05-18	south	29	1
2031-05-18	tropics	6	10
2031-05-18	tropics	29	3
2031-05-25	north	6	3
2031-05-25	north	29	1
2031-05-25	south	6	1
2031-05-25	tropics	6	5
2031-06-01	north	29	2
2031-06-01	south	29	1
2031-06-01	tropics	6	2
2031-06-01	tropics	29	8
2031-06-08	north	6	2
2031-06-08	south	6	4
2031-06-08	south	29	18
2031-06-08	tropics	6	3
2031-06-08	tropics	29	3
2031-06-15	north	29	17
2031-06-15	south	6	12
2031-06-15	south	29	4
2031-06-15	tropics	6	4
2031-06-15	tropics	29	9
2031-06-22	north	29	1
2031-06-22	south	6	5
2031-06-22	south	29	10
2031-06-22	tropics	6	5
2031-06-22	tropics	29	3
2031-06-29	north	6	2
2031-06-29	south	6	3
2031-06-29	south	29	8
2031-06-29	tropics	6	2
2031-06-29	tropics	29	4
2031-07-06	north	29	2
2031-07-06	south	6	9
2031-07-06	south	29	10
2031-07-06	tropics	6	4
2031-07-06	tropics	29	2
2031-07-13	south	6	9
2031-07-13	south	29	12
2031-07-13	tropics	6	4
2031-07-13	tropics	29	1
2031-07-20	north	6	1
2031-07-20	south	6	9
2031-07-20	south	29	7
2031-07-20	tropics	29	2
2031-07-27	south	6	7
2031-07-27	south	29	12
2031-07-27	tropics	6	3
2031-07-27	tropics	29	1
2031-08-03	south	6	5
2031-08-03	south	29	12
2031-08-03	tropics	6	3
2031-08-03	tropics	29	1
2031-08-10	south	6	3
2031-08-10	south	29	6
2031-08-10	tropics	29	2
2031-08-17	south	6	6
2031-08-17	south	29	5
2031-08-17	tropics	29	1
2031-08-24	south	6	6
2031-08-24	south	29	3
2031-08-24	tropics	6	4
2031-08-24	tropics	29	3
2031-08-31	south	6	2
2031-08-31	south	29	4
2031-09-07	south	6	2
2031-09-07	south	29	3
2031-09-14	south	6	4
2031-09-14	south	29	4
2031-09-14	tropics	6	2
2031-09-21	south	6	1
2031-09-21	south	29	1
2031-09-21	tropics	29	3
2031-09-28	south	15	1
2031-09-28	tropics	6	1
2031-10-05	north	27	47
2031-10-05	south	27	4
2031-10-05	tropics	6	1
2031-10-05	tropics	27	35
2031-10-05	tropics	29	1
2031-10-12	tropics	6	1
2031-10-12	tropics	29	1
2031-10-19	tropics	29	1
2031-10-26	south	5	1
2031-11-09	tropics	6	3
2031-11-09	tropics	29	1
2031-11-16	north	6	2
2031-11-16	south	6	1
2031-12-21	north	5	589
2031-12-21	north	29	1
2031-12-21	south	5	50
2031-12-21	tropics	5	296
2032-01-18	tropics	29	2
2032-02-01	north	15	30
2032-02-01	south	15	4
2032-02-01	tropics	15	20
2032-02-08	north	6	3
2032-02-15	north	15	2
2032-02-15	south	15	6
2032-02-15	tropics	5	1
2032-02-29	north	5	5
2032-02-29	tropics	6	1
2032-03-07	north	5	2
2032-03-07	north	15	1
2032-03-14	north	5	5
2032-03-14	north	15	1
2032-03-14	tropics	5	1
2032-03-21	north	5	1
2032-03-21	north	15	2
2032-03-21	south	15	2
2032-03-21	tropics	15	37
2032-04-04	north	1	3
2032-04-04	north	5	4
2032-04-04	north	6	1
2032-04-04	north	15	5
2032-04-11	north	5	1
2032-04-11	north	15	1
2032-04-11	tropics	29	1
2032-04-18	north	5	3
2032-04-18	north	15	2
2032-04-18	tropics	15	8
2032-04-25	north	15	6
2032-04-25	tropics	15	5
2032-05-09	north	5	1
2032-05-09	north	15	7
2032-05-16	north	5	1
2032-05-16	south	5	1
2032-05-23	north	5	1
2032-05-23	north	15	5
2032-06-06	north	5	2
2032-06-06	north	15	10
2032-06-06	south	15	17
2032-06-06	tropics	5	2
2032-06-06	tropics	15	49
2032-06-13	north	5	1
2032-06-13	north	15	1
2032-06-20	north	5	2
2032-06-20	tropics	15	4
2032-06-27	north	5	1
2032-06-27	tropics	15	1
2032-07-04	tropics	29	2
2032-07-18	north	15	1
2032-07-18	tropics	15	12
2032-07-25	north	15	6
2032-07-25	south	15	2
2032-07-25	tropics	5	1
2032-07-25	tropics	15	19
2032-08-01	north	5	2
2032-08-01	south	5	3
2032-08-01	tropics	5	1
2032-08-01	tropics	15	1
2032-08-08	tropics	15	1
2032-08-15	tropics	5	5
2032-08-15	tropics	6	1
2032-08-15	tropics	15	2
2032-08-22	tropics	5	1
2032-08-22	tropics	15	2
2032-08-29	north	15	1
2032-08-29	south	5	2
2032-08-29	tropics	5	3
2032-08-29	tropics	15	4
2032-09-05	south	5	1
2032-09-05	tropics	5	4
2032-09-05	tropics	15	1
2032-09-12	tropics	5	4
2032-09-12	tropics	15	1
2032-09-19	tropics	5	7
2032-09-19	tropics	15	1
