variant,pivot_date,model,location,mae,normalized_mae,max_r_data,correlation,sign_disagreement_rate,overestimation_rate,n_points,total_sequences,total_smoothed_sequences,mean_variant_frequency,mean_smoothed_variant_frequency,max_variant_frequency,max_smoothed_variant_frequency
25,2034-10-01,FGA,south,0.004979984195573723,0.17135489117648614,0.029062398869283586,0.9737668917007578,0.18181818181818182,0.5454545454545454,11,170.0,169.8287707501201,0.9286780697489957,0.9199253884825478,1.0,0.9721961674947394
25,2035-04-01,FGA,south,0.0025967520535786054,0.0866156332308433,0.029980177442770435,0.977800481055843,0.0,0.07692307692307693,13,198.0,197.633651763911,0.9345224692747913,0.9009351104619724,1.0,0.9118623447881881
22,2035-10-01,FGA,south,0.004212346296870271,0.0848780658581378,0.04962820788012109,0.9904457316285664,0.07692307692307693,0.46153846153846156,13,991.0,990.9390709479188,0.9321391430275761,0.9470544138735454,0.9805825242718447,0.9897442628224923
25,2035-10-01,FGA,south,0.014899712139445083,1.7222562431092816,0.008651274860554916,,0.0,0.0,1,14.0,13.651066997120859,0.9333333333333333,0.9302574643361391,0.9333333333333333,0.9302574643361391
17,2036-04-01,FGA,south,0.003088765602915753,0.2254156821728486,0.01370253202058626,1.0,0.0,0.0,2,21.0,20.859269499545356,0.08296075509190264,0.07448799049761198,0.09016393442622951,0.07899339166387122
22,2036-04-01,FGA,south,0.0013608607617085755,0.027689473024040102,0.04914722503122653,0.9990512515155279,0.0,0.041666666666666664,24,1614.0,1613.989266834862,0.8974616672818181,0.8872659741073479,0.9805825242718447,0.9312346939363725
6,2036-10-01,FGA,south,0.22194069750801787,4.20001933388604,0.05284277996469809,-0.6611091338370204,0.45454545454545453,1.0,11,211.0,210.2689243433513,0.06538584331447019,0.059123578845027544,0.10317460317460317,0.07139468925991363
17,2036-10-01,FGA,south,0.03238250856842702,0.6441530825777931,0.05027144857995187,,0.0,0.4117647058823529,17,1218.0,1217.8496043647715,0.3072144770552785,0.2943044911042364,0.34459459459459457,0.33495623825042253
22,2036-10-01,FGA,south,0.2298427587825708,5.64124951747403,0.04074323570879506,-0.8250636584442697,0.0,0.0,9,399.0,399.1146755712798,0.8510801366578663,0.8260567748537113,0.9242424242424242,0.9033295285915952
28,2036-10-01,FGA,south,0.041362458409300654,0.6885288313407016,0.06007367669522244,-0.7820447788814815,0.6,0.35,20,2540.0,2540.3522069910528,0.6221387336201609,0.6118198047666902,0.7105263157894737,0.6533237651314909
6,2037-04-01,FGA,south,0.02845612107111026,0.22208729298752936,0.12813034320116698,0.9661030759528453,0.09090909090909091,0.0,11,211.0,209.94649505209676,0.06538584331447019,0.058456204683804754,0.10317460317460317,0.12408869685600674
17,2037-04-01,FGA,south,0.004115633028104741,0.07374926630724564,0.055805748778010464,0.9928442613149697,0.05,0.4,20,1265.0,1264.7837926176865,0.3248731864647585,0.3062459996687323,0.46938775510204084,0.3175575916207442
28,2037-04-01,FGA,south,0.004862501138362187,0.07665240984452976,0.06343572430696641,0.9955941981229484,0.0,0.2608695652173913,23,2590.0,2589.9884267342545,0.6029976148082823,0.6012597338331811,0.7105263157894737,0.6498695273927847
6,2041-10-01,FGA,south,0.0202705650225621,0.3996952567454124,0.05071505023006446,0.9880803501415198,0.6,0.8,5,66.0,65.18898941031544,0.06992216352983352,0.0607421236108975,0.10416666666666667,0.08087088664245907
13,2041-10-01,FGA,south,0.011025101731640046,0.255970120126712,0.04307183090816353,0.9876533987690342,0.2631578947368421,0.3684210526315789,19,2266.0,2265.9896825500705,0.9596664077063237,0.9338084896707952,1.0,0.9991673161424789
