strain	date	country
3bd2078c	4.4489	north
3b368c57	4.4548	north
57030b8a	4.4943	north
4328d702	4.5198	north
59e56467	4.5943	north
164a87b8	4.6393	north
32bbf40a	4.6267	north
60f3e842	4.6485	north
36c5ab8e	4.6307	north
28dd73b7	4.6648	north
5cc1b77e	4.6441	north
2b1f2676	4.6502	north
4d878802	4.6785	north
5dc2613e	4.6901	north
2eda312d	4.6931	north
218a53c5	4.7035	north
1ec25538	4.7049	north
77fc07c3	4.7334	north
57939e9e	4.7312	north
376c7390	4.7473	north
192e2f17	4.7238	north
75e5a46e	4.7456	north
7577e303	4.732	north
d64dc09	4.7698	north
599ca8d3	4.7741	north
7debc062	4.7909	north
60d5a156	4.7969	north
5268c627	4.7732	north
4b441a5d	4.8103	north
61215ee4	4.8202	north
7acb0f60	4.805	north
16cfc897	4.8335	north
2372e716	4.8406	north
eb62586	4.8403	north
7ae6d9d7	4.847	north
775cfb56	4.8475	north
ad5bceb	4.8461	north
6869c8a9	4.8543	north
39edf49b	4.863	north
440efa3d	4.8569	north
3741c139	4.8505	north
76e4fec4	4.8699	north
2182890c	4.8492	north
40609aed	4.8755	north
6f3b5a74	4.8758	north
6be33fbd	4.8902	north
15a69f11	4.8902	north
134757cc	4.8635	north
59efc769	4.8963	north
5c121a2d	4.9009	north
372a54f0	4.8912	north
6f4547a8	4.8625	north
517e074	4.9023	north
32fa1593	4.897	north
602728b3	4.9087	north
7bbbf2a9	4.9069	north
6f04bf0a	4.8805	north
4dfe57dc	4.9092	north
1354feb2	4.9056	north
2c90d252	4.8984	north
48cc13ca	4.9132	north
31d6a3c	4.8898	north
6d9f69f4	4.9175	north
51100d6f	4.9158	north
395aa764	4.9128	north
79d9114f	4.9166	north
71d2d84c	4.8817	north
1d8b6e17	4.9055	north
4cf871ee	4.9247	north
32edf105	4.9116	north
2ca09ad9	4.9275	north
764a074a	4.9299	north
566195ca	4.9142	north
143e0296	4.9321	north
4cf80588	4.9342	north
a6ee542	4.9201	north
70c51814	4.9175	north
1b5ed6b9	4.9038	north
257ecd4	4.939	north
5c10e860	4.9279	north
12dfe724	4.934	north
175d4075	4.9388	north
5f7d0ef5	4.9418	north
4e97934f	4.9341	north
6ddcf88c	4.9383	north
78c0b070	4.9468	north
7aaf5fbe	4.9461	north
7c0491dc	4.9485	north
39c44eb0	4.9505	north
72bff36c	4.9435	north
4b77a874	4.9522	north
53190f6	4.9381	north
34841ea9	4.9465	north
432ef050	4.9479	north
17c9ccc	4.9548	north
63ba66cc	4.9599	north
22db1a17	4.9421	north
6d19d9cd	4.9616	north
918cbd0	4.901	north
3babe0	4.9653	north
630210cc	4.9638	north
519efd99	4.969	north
2040ebd	4.9661	north
4cd16323	4.9618	north
283bd0a0	4.9559	north
3cfa6da3	4.9404	north
45a8953c	4.9643	north
3bfa1361	4.9698	north
4adc395e	4.9685	north
5799342	4.9736	north
147c6c4d	4.9699	north
75a45ace	4.9707	north
6caf1638	4.9714	north
6f0d32c3	4.9682	north
6dc348b4	4.9622	north
21b37739	4.9735	north
3972a986	4.9742	north
54dde143	4.9716	north
478610b8	4.9785	north
41ec92f4	4.9595	north
1615f6c2	4.9764	north
44c607d8	4.9633	north
29139401	4.9806	north
4221a984	4.9802	north
29b75d6	4.9272	north
4c5073ae	4.9777	north
34addcf	4.9685	north
2c01c1f	4.9338	north
12107af3	4.9782	north
15a8d4d8	4.9711	north
1b2563cb	4.9853	north
16ac68e0	4.9803	north
745b368f	4.9842	north
647bdded	4.9923	north
4a5186dd	4.9891	north
37f69cd3	4.992	north
6303ff1c	4.9773	north
7b3400ba	4.9926	north
59f5a483	4.992	north
11faaf24	4.9893	north
5080d5f7	4.9461	north
33283534	4.9992	north
7fa426fc	4.9982	north
395ebd46	4.9883	north
1927246d	4.9955	north
3ee5e9d5	5.0	north
74d6e335	4.9947	north
7ce7a7d4	4.9886	north
5c3bb593	4.9709	north
4b53adfa	4.9868	north
3447ba13	5.0008	north
2a37e2d3	4.9935	north
535fb53b	4.982	north
ee73624	5.0042	north
3c994e78	5.0028	north
4cfe4b30	5.0093	north
7b3de907	5.0032	north
68627c46	4.9832	north
185d5096	5.0109	north
46918646	4.9813	north
3c36eb9	5.0198	north
740f382d	5.007	north
209e342b	5.0143	north
4303db08	4.9937	north
525a41f4	5.0038	north
24a1e5a	5.0239	north
4b754fc	5.0118	north
4c21762b	5.0122	north
52b8a370	5.0007	north
184ba6da	4.9999	north
b865a47	5.0199	north
42ad0e32	5.0156	north
5c59cd73	5.0161	north
947d8af	5.0001	north
3ea409ff	5.0259	north
6b40edb0	5.0268	north
5feac06a	5.0241	north
3a0e5a5d	5.0078	north
3680dbb9	5.0282	north
f199da0	5.0341	north
dbd2f6b	5.032	north
4d555948	5.0301	north
2266dde1	5.0259	north
10d86d6d	5.0034	north
65f02bcf	5.0256	north
3172bbda	5.0329	north
9a65aa	5.0384	north
2d4264a2	5.0304	north
3a50d369	5.0144	north
42fae94d	5.0409	north
1e192517	5.0435	north
54c5a6d8	5.0415	north
d02812a	5.0473	north
475f334a	5.0184	north
3481b667	5.0449	north
875e309	5.0443	north
6d1935ec	5.0379	north
6b32d070	5.0505	north
7972ceb2	5.0512	north
47f6d213	5.0516	north
4254d528	5.0496	north
6ddea5d6	5.0592	north
806380e	5.0415	north
b1f53bd	5.0621	north
69b3be0	5.0566	north
4226845a	5.0272	north
439cfc34	5.0649	north
3e0ff116	5.0655	north
f0a43f6	5.0606	north
60d88134	5.0385	north
74ec5e87	5.0389	north
7211a84d	5.0718	north
4f7b1e7e	5.0652	north
19b9421	5.0637	north
4f203597	5.0712	north
4f6e18f0	5.0687	north
6b423b37	5.0541	north
2ac1bfc2	5.0726	north
34fdac87	5.077	north
2b81fb63	5.0728	north
513f7de	5.0485	north
6b50011b	5.0741	north
55441c8f	5.0107	north
544c46f	5.0691	north
2fdf78c2	5.0692	north
4ad69be5	5.0369	north
58b53d87	5.0782	north
462da9ca	5.0839	north
1e21b86f	5.0733	north
27fdcb6a	5.0873	north
2c033761	5.0556	north
5f320f03	5.0885	north
23b6f98a	5.0687	north
565da53a	5.085	north
60df32ba	5.0756	north
383cbdb9	5.0644	north
525d6d3c	5.0892	north
2751f831	5.0566	north
701eb13f	5.094	north
6fbd7dda	5.0513	north
2569d19f	5.0255	north
7a80cd28	5.0491	north
3759434a	5.0794	north
5ec8e2e5	5.086	north
1125c9ae	5.084	north
20a4e160	5.0909	north
6a916732	5.1028	north
55d3f839	5.0856	north
275c230	5.1063	north
66ce47be	5.0835	north
5ac48529	5.0873	north
78f8c934	5.1075	north
1ddbdb36	5.1031	north
77550ae9	5.0939	north
6dd3736a	5.0807	north
1ade2ca0	5.1152	north
2ebd8457	5.1057	north
6036993a	5.1159	north
4caac11a	5.1115	north
502ae504	5.1293	north
2a55e524	5.1275	north
65ee04ea	5.1061	north
71122b1d	5.1297	north
5c3d411c	5.1267	north
6ed53971	5.1395	north
4ea971a8	5.1193	north
2ba0114a	5.1318	north
4d1efbde	5.1137	north
2a4dcf8b	5.1436	north
7fc72a4d	5.1518	north
3fd539b6	5.1465	north
4e94428	5.1616	north
c75bff2	5.1623	north
5bc956f3	5.1392	north
31d824a4	5.1618	north
2cfefde7	5.1312	north
b0092c4	5.1666	north
13eb73d7	5.1582	north
36fdfacc	5.1719	north
4492d0b2	5.1892	north
632109b1	5.1312	north
58f8236c	5.1675	north
404631fd	5.1813	north
7fe6c8c4	5.1869	north
6b1f8c32	5.1941	north
3d7bab2f	5.2193	north
40244df	5.1961	north
324c910e	5.2244	north
cd36fb8	5.2193	north
47f2b1cd	5.2631	north
14cda851	5.2317	north
792f675b	5.275	north
4196ad77	5.2994	north
269f244d	5.3256	north
1e75e008	5.3369	north
6d7cb82e	5.3506	north
3204d18f	5.3824	north
697b8812	5.3207	north
5e42c2fc	5.7883	north
2dabd997	5.8041	north
10252306	5.9691	north
727c5b47	5.9755	north
7b5019e8	6.0098	north
30c09cf5	5.999	north
822747c	6.0124	north
6d0aec73	6.0467	north
46b0ec32	6.0513	north
1ee3a145	6.0709	north
33253cb1	6.0904	north
525de196	6.0959	north
6fe1547d	6.0893	north
7d6ae369	6.0527	north
7575bb7	6.1047	north
7fbe46c1	6.1155	north
42892062	6.1058	north
12a91aa0	6.1152	north
552dde9c	6.1184	north
1eb60c50	6.1311	north
140184cb	6.1242	north
5599dec8	6.0984	north
3a7c3bc	6.1426	north
763ca9c	6.1638	north
4dda7d69	6.1702	north
1b6d17d7	6.1834	north
62c74999	6.1808	north
e8384ce	6.1852	north
34766d7f	6.1776	north
606227ca	6.1821	north
1f3f2df8	6.1967	north
1f8ce4c6	6.1764	north
38da85fe	6.1837	north
6210611c	6.2061	north
386dca39	6.2479	north
6ef7cd6d	6.2101	north
a4ec1e8	6.2552	north
585ff9af	6.2502	north
398e8005	6.2705	north
127986	6.2729	north
334ef2db	6.2859	north
75dfaf94	6.2959	north
46d1e5a1	6.2945	north
3370a98d	6.3072	north
2b3d517e	6.3103	north
413b6c2e	6.3225	north
79254581	6.3159	north
34474253	6.3522	north
7d6ae4d	6.3544	north
